run_id,parent_run_id,trade_index,entry_time,exit_time,entry_date,exit_date,entry_month,entry_quarter,exit_month,entry_hour,exit_hour,entry_session,side,entry_price,exit_price,volume,commission,swap,profit_before_swap,net_profit_after_cost,balance_after,hold_minutes_calendar,hold_m5_calendar,win_after_cost,claim_boundary,closed_balance_peak,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_bucket
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,1,2025-01-02T17:00:00,2025-01-02T17:30:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,17,17,cash_open_17_20,long,21139.02,21035.07,0.1,0.0,0.0,-10.4,-10.4,489.6,30,6,False,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,0.0,0.0,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,2,2025-01-02T17:35:00,2025-01-02T18:10:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,17,18,cash_open_17_20,long,21012.52,20974.94,0.1,0.0,0.0,-3.76,-3.76,485.84,35,7,False,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,3.7600000000000477,0.76797385620916,002_7_to_12_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,3,2025-01-02T18:25:00,2025-01-02T18:55:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,18,18,cash_open_17_20,long,21035.64,21052.69,0.1,0.0,0.0,1.71,1.71,487.55,30,6,True,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,2.0500000000000114,0.41870915032679973,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,4,2025-01-02T19:00:00,2025-01-02T19:30:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,19,19,cash_open_17_20,long,21064.27,20898.19,0.1,0.0,0.0,-16.61,-16.61,470.94,30,6,False,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,18.660000000000025,3.8112745098039267,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,5,2025-01-02T19:45:00,2025-01-02T20:15:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,19,20,cash_open_17_20,short,20796.57,20779.52,0.1,0.0,0.0,1.71,1.71,472.65,30,6,True,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,16.950000000000045,3.462009803921578,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,6,2025-01-02T20:40:00,2025-01-02T20:50:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,20,20,cash_open_17_20,short,20765.82,20773.02,0.1,0.0,0.0,-0.72,-0.72,471.93,10,2,False,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,17.670000000000016,3.6090686274509833,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,7,2025-01-02T20:50:00,2025-01-02T21:20:00,2025-01-02,2025-01-02,2025-01,2025Q1,2025-01,20,21,cash_open_17_20,long,20773.02,20824.57,0.1,0.0,0.0,5.16,5.16,477.09,30,6,True,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,12.510000000000048,2.555147058823539,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,8,2025-01-03T16:40:00,2025-01-03T17:10:00,2025-01-03,2025-01-03,2025-01,2025Q1,2025-01,16,17,premarket_before_17,long,21161.86,21151.91,0.1,0.0,0.0,-1.0,-1.0,476.09,30,6,False,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,13.510000000000048,2.759395424836611,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,9,2025-01-03T17:15:00,2025-01-03T17:45:00,2025-01-03,2025-01-03,2025-01,2025Q1,2025-01,17,17,cash_open_17_20,long,21098.24,21123.54,0.1,0.0,0.0,2.53,2.53,478.62,30,6,True,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,10.980000000000018,2.242647058823533,001_<=6_m5_calendar
run364BK_review_h19_opposite_margin_runtime_probe_without_db_v1,run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,10,2025-01-03T17:50:00,2025-01-03T18:20:00,2025-01-03,2025-01-03,2025-01,2025Q1,2025-01,17,18,cash_open_17_20,long,21124.99,21127.91,0.1,0.0,0.0,0.29,0.29,478.91,30,6,True,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,489.6,10.689999999999998,2.183415032679738,001_<=6_m5_calendar
