run_id,model_id,threshold_id,exit_mode,max_hold_m5,split,cost_per_trade,sample_trade_count,sample_net,sample_profit_factor,claim_boundary
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,validation,0.3,80,-86.251,0.680698494,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,validation,0.45,80,-98.251,0.6449494803,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,validation,0.6,80,-110.251,0.610866005,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,oos,0.3,80,87.176,1.6565644394,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,oos,0.45,80,75.176,1.5442566932,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h12_move5__rf5_l80_n64,long_only_margin__density_16_0__maxhold_8__flat_or_opp,flat_or_opp,8,oos,0.6,80,63.176,1.439941226,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,validation,0.3,80,10.624,1.0468713464,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,validation,0.45,80,-1.376,0.9941055012,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,validation,0.6,80,-13.376,0.944350836,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364L_train_density_lift_trade_shape_onnx_scout_without_db_v1,h24_move8__rf5_l80_n64,long_only_margin__density_20_0__maxhold_12__flat_or_opp,flat_or_opp,12,oos,0.3,80,24.849,1.1638575668,research_development_density_lift_trade_shape_model_training_and_proxy_scout_only_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
