run_id,parent_run_id,trade_index,entry_time,exit_time,entry_date,exit_date,entry_month,exit_month,entry_hour,exit_hour,side,entry_deal,exit_deal,entry_price,exit_price,volume,commission,swap,profit_before_swap,net_profit_after_cost,balance_after,hold_minutes_calendar,hold_m5_calendar,win_after_cost,claim_boundary(주장 경계),closed_balance_peak,closed_balance_drawdown_amount,closed_balance_drawdown_percent
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,1,2025-01-02 17:00:00,2025-01-02 17:40:00,2025-01-02,2025-01-02,2025-01,2025-01,17,17,long,2,3,21139.02,21001.19,0.1,0.0,0.0,-13.78,-13.78,486.22,40,8,False,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,486.22,0.0,0.0
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,2,2025-01-02 17:45:00,2025-01-02 18:30:00,2025-01-02,2025-01-02,2025-01,2025-01,17,18,long,4,5,20988.77,21039.44,0.1,0.0,0.0,5.07,5.07,491.29,45,9,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,491.29,0.0,0.0
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,3,2025-01-02 18:35:00,2025-01-02 19:15:00,2025-01-02,2025-01-02,2025-01,2025-01,18,19,long,6,7,21044.39,21074.57,0.1,0.0,0.0,3.02,3.02,494.31,40,8,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,0.0,0.0
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,4,2025-01-02 19:20:00,2025-01-02 20:00:00,2025-01-02,2025-01-02,2025-01,2025-01,19,20,long,8,9,21045.27,20822.44,0.1,0.0,0.0,-22.28,-22.28,472.03,40,8,False,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,22.28000000000003,4.507292994274854
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,5,2025-01-03 16:40:00,2025-01-03 17:20:00,2025-01-03,2025-01-03,2025-01,2025-01,16,17,long,10,11,21161.86,21071.66,0.1,0.0,0.0,-9.02,-9.02,463.01,40,8,False,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,31.30000000000001,6.332058829479478
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,6,2025-01-03 17:25:00,2025-01-03 18:05:00,2025-01-03,2025-01-03,2025-01,2025-01,17,18,long,12,13,21070.99,21148.54,0.1,0.0,0.0,7.76,7.76,470.77,40,8,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,23.54000000000002,4.762193765046231
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,7,2025-01-03 18:10:00,2025-01-03 18:50:00,2025-01-03,2025-01-03,2025-01,2025-01,18,18,long,14,15,21098.11,21225.29,0.1,0.0,0.0,12.72,12.72,483.49,40,8,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,10.819999999999993,2.1889097934494535
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,8,2025-01-03 18:55:00,2025-01-03 19:35:00,2025-01-03,2025-01-03,2025-01,2025-01,18,19,long,16,17,21233.86,21204.54,0.1,0.0,0.0,-2.93,-2.93,480.56,40,8,False,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,13.75,2.7816552365924214
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,9,2025-01-03 19:40:00,2025-01-03 20:25:00,2025-01-03,2025-01-03,2025-01,2025-01,19,20,long,18,19,21204.36,21225.66,0.1,0.0,0.0,2.13,2.13,482.69,45,9,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,11.620000000000005,2.3507515526693785
run364T_review_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,run364S_execute_drawdown_side_balance_overlay_mt5_runtime_probe_without_db_v1,10,2025-01-03 21:05:00,2025-01-03 21:55:00,2025-01-03,2025-01-03,2025-01,2025-01,21,21,long,20,21,21272.36,21285.66,0.1,0.0,0.0,1.33,1.33,484.02,50,10,True,research_development_mt5_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,494.31,10.29000000000002,2.0816896279662602
