adapter_id,route_view,cost_0.25_net_profit,cost_0.25_profit_factor,cost_0.25_status,cost_0.5_net_profit,cost_0.5_profit_factor,cost_0.5_status,cost_1.0_net_profit,cost_1.0_profit_factor,cost_1.0_status,cost_2.0_net_profit,cost_2.0_profit_factor,cost_2.0_status
atr00_no_sltp_control,tier_a_atr_sltp_separate,262.43,1.258193,passed,160.68,1.14953,passed,-42.82,0.964206,failed,-449.82,0.690624,failed
atr00_no_sltp_control,tier_b_atr_sltp_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
atr01_sl1p0_tp1p5,tier_a_atr_sltp_separate,-198.08,0.205105,failed,-344.83,0.02505,failed,-638.33,0.00122,failed,-1225.33,0.0,failed
atr01_sl1p0_tp1p5,tier_b_atr_sltp_separate,-44.17,0.165659,failed,-74.67,0.013476,failed,-135.67,0.0,failed,-257.67,0.0,failed
atr02_sl1p5_tp2p0,tier_a_atr_sltp_separate,-198.08,0.205105,failed,-344.83,0.02505,failed,-638.33,0.00122,failed,-1225.33,0.0,failed
atr02_sl1p5_tp2p0,tier_b_atr_sltp_separate,-44.17,0.165659,failed,-74.67,0.013476,failed,-135.67,0.0,failed,-257.67,0.0,failed
atr03_sl2p0_tp3p0,tier_a_atr_sltp_separate,-198.08,0.205105,failed,-344.83,0.02505,failed,-638.33,0.00122,failed,-1225.33,0.0,failed
atr03_sl2p0_tp3p0,tier_b_atr_sltp_separate,-44.17,0.165659,failed,-74.67,0.013476,failed,-135.67,0.0,failed,-257.67,0.0,failed
atr04_sl1p0_tp2p5,tier_a_atr_sltp_separate,-198.08,0.205105,failed,-344.83,0.02505,failed,-638.33,0.00122,failed,-1225.33,0.0,failed
atr04_sl1p0_tp2p5,tier_b_atr_sltp_separate,-44.17,0.165659,failed,-74.67,0.013476,failed,-135.67,0.0,failed,-257.67,0.0,failed
