adapter_id,route_view,cost_0.25_net_profit,cost_0.25_profit_factor,cost_0.25_status,cost_0.5_net_profit,cost_0.5_profit_factor,cost_0.5_status,cost_1.0_net_profit,cost_1.0_profit_factor,cost_1.0_status,cost_2.0_net_profit,cost_2.0_profit_factor,cost_2.0_status
csp00_stage51_control,tier_a_side_filter_separate,262.43,1.258193,passed,160.68,1.14953,passed,-42.82,0.964206,failed,-449.82,0.690624,failed
csp00_stage51_control,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
csp01_stage53_candidate_retest,tier_a_side_filter_separate,326.91,1.561498,passed,271.16,1.44419,passed,159.66,1.238195,passed,-63.34,0.92074,failed
csp01_stage53_candidate_retest,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
csp02_no_early_longs_no_lowadx_shorts,tier_a_side_filter_separate,230.32,1.422288,passed,179.57,1.313326,passed,78.07,1.123856,passed,-124.93,0.834266,failed
csp02_no_early_longs_no_lowadx_shorts,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
csp03_midlate_longs_strong_shorts,tier_a_side_filter_separate,351.02,1.667783,passed,301.02,1.546762,passed,201.02,1.333389,passed,1.02,1.001426,failed
csp03_midlate_longs_strong_shorts,tier_b_side_filter_separate,30.83,1.112428,passed,20.58,1.07397,failed,0.08,1.00028,failed,-40.92,0.86508,failed
csp04_late_longs_no_volmid_shorts,tier_a_side_filter_separate,273.03,1.727498,passed,237.03,1.602363,passed,165.03,1.381979,passed,21.03,1.040693,failed
csp04_late_longs_no_volmid_shorts,tier_b_side_filter_separate,48.35,1.220053,passed,37.6,1.166092,passed,16.1,1.066988,failed,-26.9,0.900444,failed
csp05_short_only_trend_or_di,tier_a_side_filter_separate,181.09,1.508866,passed,154.09,1.417735,passed,100.09,1.253078,passed,-7.91,0.982494,failed
csp05_short_only_trend_or_di,tier_b_side_filter_separate,0.0,,failed,0.0,,failed,0.0,,failed,0.0,,failed
