run_id,adapter_id,candidate_id,route_view,window_id,window_label,partition,tier_scope,attempt_name,net_profit,profit_factor,trade_count,max_drawdown_amount,recovery_factor,runtime_status,report_status,report_path
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_side_filter_separate,w01_2025q2,2025 Q2,validation,Tier A,tier_a_rfp00_csp03_primary_control_fallback_w01_2025q2,21.71,1.2,33,84.04,0.26,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_a_rfp00_csp03_primary_control_fallback_w01_2025q2.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_b_fallback_side_filter_separate,w01_2025q2,2025 Q2,validation,Tier B,tier_b_rfp00_csp03_primary_control_fallback_w01_2025q2,-41.47,0.4,15,82.43,-0.5,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_b_rfp00_csp03_primary_control_fallback_w01_2025q2.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_tier_b_side_filter_routed_total,w01_2025q2,2025 Q2,validation,Tier A+B,routed_rfp00_csp03_primary_control_fallback_w01_2025q2,36.2,1.38,46,69.96,0.52,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_routed_rfp00_csp03_primary_control_fallback_w01_2025q2.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_side_filter_separate,w02_2025q3,2025 Q3,validation,Tier A,tier_a_rfp00_csp03_primary_control_fallback_w02_2025q3,92.57,1.51,75,84.5,1.1,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_a_rfp00_csp03_primary_control_fallback_w02_2025q3.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_b_fallback_side_filter_separate,w02_2025q3,2025 Q3,validation,Tier B,tier_b_rfp00_csp03_primary_control_fallback_w02_2025q3,115.2,2.21,47,52.63,2.19,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_b_rfp00_csp03_primary_control_fallback_w02_2025q3.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_tier_b_side_filter_routed_total,w02_2025q3,2025 Q3,validation,Tier A+B,routed_rfp00_csp03_primary_control_fallback_w02_2025q3,67.69,1.33,119,57.96,1.17,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_routed_rfp00_csp03_primary_control_fallback_w02_2025q3.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_side_filter_separate,w03_2025q4,2025 Q4,oos,Tier A,tier_a_rfp00_csp03_primary_control_fallback_w03_2025q4,139.48,2.16,54,61.08,2.28,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_a_rfp00_csp03_primary_control_fallback_w03_2025q4.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_b_fallback_side_filter_separate,w03_2025q4,2025 Q4,oos,Tier B,tier_b_rfp00_csp03_primary_control_fallback_w03_2025q4,-15.17,0.91,19,233.75,-0.06,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_b_rfp00_csp03_primary_control_fallback_w03_2025q4.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_tier_b_side_filter_routed_total,w03_2025q4,2025 Q4,oos,Tier A+B,routed_rfp00_csp03_primary_control_fallback_w03_2025q4,68.79,1.36,78,65.11,1.06,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_routed_rfp00_csp03_primary_control_fallback_w03_2025q4.htm
run49A_tier_b_fallback_side_filter_router_v1,rfp00_csp03_primary_control_fallback,c08_extreme_compression_stress,tier_a_primary_side_filter_separate,w04_2026q1,2026 Q1,oos,Tier A,tier_a_rfp00_csp03_primary_control_fallback_w04_2026q1,147.26,2.66,38,41.63,3.54,completed,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/55_adapter_routing__tier_b_fallback_side_filter_router/02_runs/run49A/mt5/reports/Project_Obsidian_Prime_v2_run49A_tier_b_fallback_side_filter_router_v1_tier_a_rfp00_csp03_primary_control_fallback_w04_2026q1.htm
