adapter_id,route_view,validation_closed_trades,oos_closed_trades,combined_closed_trades,validation_trades_per_month,oos_trades_per_month,weakest_wfo_window_trade_count,single_trade_share,day_share,week_share,month_share,status,failed_reasons
rfp00_csp03_primary_control_fallback,tier_a_primary_side_filter_separate,108,92,200,17.963115,14.360256,33,0.106404,0.102015,0.154755,0.211486,passed,[]
rfp00_csp03_primary_control_fallback,tier_a_primary_tier_b_side_filter_routed_total,165,130,295,27.443648,20.291667,46,0.124937,0.112693,0.205598,0.289857,passed,[]
rfp00_csp03_primary_control_fallback,tier_b_fallback_side_filter_separate,62,36,98,10.312158,5.619231,15,0.31446,0.31446,0.341796,0.429163,failed,"['oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'single_trade_share_gt_25pct']"
rfp01_csp03_primary_csp03_fallback,tier_a_primary_side_filter_separate,108,92,200,17.963115,14.360256,33,0.106404,0.102015,0.154755,0.211486,passed,[]
rfp01_csp03_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,133,107,240,22.121243,16.701603,40,0.143995,0.129337,0.236961,0.299156,passed,[]
rfp01_csp03_primary_csp03_fallback,tier_b_fallback_side_filter_separate,26,15,41,4.324454,2.341346,6,1.12074,1.12074,1.49075,1.301363,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12', 'single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
rfp02_csp03_primary_csp05_fallback,tier_a_primary_side_filter_separate,108,92,200,17.963115,14.360256,33,0.106404,0.102015,0.154755,0.211486,passed,[]
rfp02_csp03_primary_csp05_fallback,tier_a_primary_tier_b_side_filter_routed_total,110,93,203,18.295765,14.516346,33,0.141005,0.126652,0.181715,0.242619,passed,[]
rfp02_csp03_primary_csp05_fallback,tier_b_fallback_side_filter_separate,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'validation_density_lt_3_per_month', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12']"
rfp03_csp02_primary_csp03_fallback,tier_a_primary_side_filter_separate,111,92,203,18.46209,14.360256,36,0.151813,0.145551,0.177002,0.227666,passed,[]
rfp03_csp02_primary_csp03_fallback,tier_a_primary_tier_b_side_filter_routed_total,133,102,235,22.121243,15.921154,41,0.161757,0.139775,0.195465,0.234157,passed,[]
rfp03_csp02_primary_csp03_fallback,tier_b_fallback_side_filter_separate,26,15,41,4.324454,2.341346,6,1.12074,1.12074,1.49075,1.301363,failed,"['validation_closed_trades_lt_40', 'oos_closed_trades_lt_40', 'combined_closed_trades_lt_100', 'oos_density_lt_3_per_month', 'weakest_wfo_window_lt_12', 'single_trade_share_gt_25pct', 'day_share_gt_35pct', 'week_share_gt_50pct', 'month_share_gt_65pct']"
