run_id,variant_id,split,axis,bucket,trade_count,net_profit,trade_share,profit_per_trade
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,session_slice,early,404,167.94,0.412666,0.415693
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,session_slice,late,280,210.03,0.286006,0.750107
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,session_slice,mid,295,88.67,0.301328,0.300576
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,volatility_regime,vol_high,338,317.92,0.34525,0.940592
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,volatility_regime,vol_low,371,98.05,0.378958,0.264286
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,volatility_regime,vol_mid,270,50.67,0.275792,0.187667
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,trend_regime,downtrend,640,343.31,0.653728,0.536422
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,trend_regime,range_or_weak_trend,339,123.33,0.346272,0.363805
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,adx_bucket,adx_20_25,110,258.31,0.11236,2.348273
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,adx_bucket,adx_gt25,530,85.0,0.541369,0.160377
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,adx_bucket,adx_lt20,339,123.33,0.346272,0.363805
run50AF_s25c8a_logreg_deep_v1,s25c8a,validation,spread_regime,spread_low,979,466.64,1.0,0.47665
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,session_slice,early,293,279.92,0.412096,0.955358
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,session_slice,late,202,132.48,0.284107,0.655842
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,session_slice,mid,216,5.17,0.303797,0.023935
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,volatility_regime,vol_high,263,171.07,0.369902,0.650456
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,volatility_regime,vol_low,233,77.31,0.327707,0.331803
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,volatility_regime,vol_mid,215,169.19,0.302391,0.78693
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,trend_regime,downtrend,495,185.79,0.696203,0.375333
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,trend_regime,range_or_weak_trend,216,231.78,0.303797,1.073056
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,adx_bucket,adx_20_25,87,21.77,0.122363,0.25023
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,adx_bucket,adx_gt25,408,164.02,0.57384,0.40201
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,adx_bucket,adx_lt20,216,231.78,0.303797,1.073056
run50AF_s25c8a_logreg_deep_v1,s25c8a,oos,spread_regime,spread_low,711,417.57,1.0,0.5873
