variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431693989071,341.54,1.129371212121212,0.4566042780748663,0.5,-0.04339572192513369,0.6400747268409855,-4.6793342664473165,,,False,380,0.29210526315789476,368,0.3179347826086957,394,419,456,0.6096256684491979,12,456,292,1.5956284153005464,141.07000000000002,1.1491131640699324,False,22.68,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846153846,273.2,1.1212659239202805,0.4599326599326599,0.5,-0.040067340067340085,0.6282646615086092,-2.9547866025737006,,,False,308,0.32142857142857145,286,0.26573426573426573,302,332,354,0.5959595959595959,12,354,240,1.2307692307692308,373.66,1.462273137781297,False,22.613333333333333,
nf200s25b_reference,run50AH_nf200s25b_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AH/nf200s25b/mt5/reports/Project_Obsidian_Prime_v2_run50AH_nf200s25b_logreg_deep_v1_routed_validation_is.htm,1009,5.5136612021857925,459.98,1.184725730601951,0.45587710604558973,0.5,-0.04412289395441027,0.6067097685582177,-7.737164843109289,,,False,478,0.3410041841004184,531,0.2919020715630885,243,293,604,0.5986124876114965,12,604,405,2.2131147540983607,215.26,1.2191097584560733,False,29.26,
nf200s25b_reference,run50AH_nf200s25b_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AH/nf200s25b/mt5/reports/Project_Obsidian_Prime_v2_run50AH_nf200s25b_logreg_deep_v1_routed_oos.htm,739,3.7897435897435896,428.88,1.2358673713503199,0.5803518267929635,0.5,0.08035182679296349,0.5818810330905666,-10.680901659574708,,,False,387,0.39276485788113696,352,0.375,151,183,450,0.6089309878213802,12,450,289,1.4820512820512821,214.62,1.2865114540503018,False,27.99,
qda85_s850_flat_trans_r030_h8,run50AU_qda85_s850_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s850_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s850_flat_trans_r030_h8_composite_route_density_repair_v1_routed_validation_is.htm,1168,6.382513661202186,479.46000000000004,1.1604103099405814,0.4104965753424658,0.5,-0.08950342465753419,0.6078474902634481,-4.418808540094083,0.6400747268409855,-0.032227236577537455,False,544,0.3400735294117647,624,0.30128205128205127,417,567,711,0.6087328767123288,12,711,457,2.4972677595628414,-121.8,0.9030355138401279,False,27.663333333333334,
qda85_s850_flat_trans_r030_h8,run50AU_qda85_s850_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s850_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s850_flat_trans_r030_h8_composite_route_density_repair_v1_routed_oos.htm,809,4.148717948717949,119.0,1.0527311641179937,0.14709517923362175,0.5,-0.35290482076637825,0.5826741576968137,-4.438274791180632,0.6282646615086092,-0.04559050381179541,False,407,0.3783783783783784,402,0.3208955223880597,269,355,451,0.5574783683559951,12,451,358,1.8358974358974358,209.69,1.2263493091537132,False,27.56666666666667,
qda85_s800_flat_trans_r030_h8,run50AU_qda85_s800_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s800_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s800_flat_trans_r030_h8_composite_route_density_repair_v1_routed_validation_is.htm,1168,6.382513661202186,479.46000000000004,1.1604103099405814,0.4104965753424658,0.5,-0.08950342465753419,0.6078474902634481,-4.418808540094083,0.6400747268409855,-0.032227236577537455,False,544,0.3400735294117647,624,0.30128205128205127,417,567,711,0.6087328767123288,12,711,457,2.4972677595628414,-121.8,0.9030355138401279,False,27.663333333333334,
qda85_s800_flat_trans_r030_h8,run50AU_qda85_s800_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s800_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s800_flat_trans_r030_h8_composite_route_density_repair_v1_routed_oos.htm,811,4.158974358974359,150.79999999999998,1.0668501943886621,0.18594327990135634,0.5,-0.31405672009864366,0.5829744104515381,-4.424575540051765,0.6282646615086092,-0.045290251057071074,False,410,0.375609756097561,401,0.3192019950124688,270,358,453,0.5585696670776819,12,453,358,1.8358974358974358,252.45,1.2739941608691405,False,27.806666666666665,
qda85_s750_flat_trans_r030_h8,run50AU_qda85_s750_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s750_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s750_flat_trans_r030_h8_composite_route_density_repair_v1_routed_validation_is.htm,1167,6.377049180327869,504.24,1.1687008190139714,0.43208226221079693,0.5,-0.06791773778920307,0.6088443570827757,-4.422749978887986,0.6400747268409855,-0.03123036975820981,False,543,0.3388581952117864,624,0.30128205128205127,416,566,710,0.6083976006855184,12,710,457,2.4972677595628414,-96.96,0.9228105371259344,False,27.876666666666665,
qda85_s750_flat_trans_r030_h8,run50AU_qda85_s750_flat_trans_r030_h8_composite_route_density_repair_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50AU/qda85_s750_flat_trans_r030_h8/mt5/reports/Project_Obsidian_Prime_v2_run50AU_qda85_s750_flat_trans_r030_h8_composite_route_density_repair_v1_routed_oos.htm,813,4.1692307692307695,148.67,1.0660555920877246,0.18286592865928658,0.5,-0.3171340713407134,0.5810020245699303,-4.408305908463136,0.6282646615086092,-0.047262636938678826,False,412,0.3786407766990291,401,0.3167082294264339,271,360,455,0.5596555965559655,12,455,358,1.8358974358974358,251.82,1.2730584892975645,False,27.74,
