variant_id,run_id,record_view,split,status,report_path,trade_count,trades_per_day,net_profit,profit_factor_recomputed,expectancy,cost_stress_per_trade,cost_stressed_expectancy,mfe_capture_ratio,mfe_capture_ratio_all_trades,reference_mfe_capture_ratio,mfe_capture_delta_vs_d390h10,mfe_capture_materially_worse_than_d390h10,winner_count,winner_truncation_rate,loser_count,loser_escape_rate,same_direction_reentry_3_bars,same_direction_reentry_6_bars,same_direction_reentry_12_bars,same_move_reentry_ratio,cooldown_window_bars,cooldown_removed_trades,trade_count_after_cooldown,trades_per_day_after_cooldown,net_after_cooldown,profit_factor_after_cooldown,density_gain_survives_12bar_cooldown,mt5_average_position_holding_bars,error
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_validation_is,validation_is,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_validation_is.htm,748,4.087431693989071,341.54,1.129371212121212,0.4566042780748663,0.5,-0.04339572192513369,0.6400747268409855,-4.6793342664473165,,,False,380,0.29210526315789476,368,0.3179347826086957,394,419,456,0.6096256684491979,12,456,292,1.5956284153005464,141.07000000000002,1.1491131640699324,False,22.68,
d390h10_reference,run50D_d390h10_logreg_deep_v1,mt5_routed_total_oos,oos,completed,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50D/d390h10/mt5/reports/Project_Obsidian_Prime_v2_run50D_d390h10_logreg_deep_v1_routed_oos.htm,594,3.046153846153846,273.2,1.1212659239202805,0.4599326599326599,0.5,-0.040067340067340085,0.6282646615086092,-2.9547866025737006,,,False,308,0.32142857142857145,286,0.26573426573426573,302,332,354,0.5959595959595959,12,354,240,1.2307692307692308,373.66,1.462273137781297,False,22.613333333333333,
v09_slot30_cycle_dense_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v09_slot30_cycle_dense_h2c12_no_b,mt5_routed_v09_slot30_cycle_dense_h2c12_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x01_x01_rt_val.htm,464,2.5355191256830603,142.95999999999998,1.1127284770300747,0.308103448275862,0.5,-0.191896551724138,0.598272575527225,-4.781169302476142,0.6400747268409855,-0.04180215131376053,False,240,0.325,224,0.34375,0,0,0,0.0,12,0,464,2.5355191256830603,142.95999999999998,1.1127284770300747,False,59.19666666666667,
v09_slot30_cycle_dense_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v09_slot30_cycle_dense_h2c12_no_b,mt5_routed_v09_slot30_cycle_dense_h2c12_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x01_x01_rt_oos.htm,356,1.8256410256410256,225.97,1.2212485558188262,0.634747191011236,0.5,0.134747191011236,0.6033955037864404,-1.9049560286724465,0.6282646615086092,-0.0248691577221688,False,188,0.3404255319148936,168,0.31547619047619047,0,0,0,0.0,12,0,356,1.8256410256410256,225.97,1.2212485558188262,False,66.80333333333333,
v10_slot30_cycle_quality_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v10_slot30_cycle_quality_h2c12_no_b,mt5_routed_v10_slot30_cycle_quality_h2c12_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x02_x02_rt_val.htm,437,2.387978142076503,241.42,1.2405635936067598,0.5524485125858123,0.5,0.05244851258581229,0.6055408962390679,-5.1308721338194125,0.6400747268409855,-0.034533830601917614,False,234,0.32905982905982906,203,0.3793103448275862,0,0,0,0.0,12,0,437,2.387978142076503,241.42,1.2405635936067598,False,44.57,
v10_slot30_cycle_quality_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v10_slot30_cycle_quality_h2c12_no_b,mt5_routed_v10_slot30_cycle_quality_h2c12_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x02_x02_rt_oos.htm,339,1.7384615384615385,68.80000000000001,1.0936627867401811,0.20294985250737466,0.5,-0.29705014749262537,0.6115382002202681,-2.2507152648121362,0.6282646615086092,-0.0167264612883411,False,180,0.3277777777777778,159,0.3710691823899371,0,0,0,0.0,12,0,339,1.7384615384615385,68.80000000000001,1.0936627867401811,False,39.553333333333335,
v11_slot30_dense_control_h2c12_with_b,run50BA_stage56_context_timed_opportunity_source_v1_v11_slot30_dense_control_h2c12_with_b,mt5_routed_v11_slot30_dense_control_h2c12_with_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x03_x03_rt_val.htm,603,3.2950819672131146,188.87,1.1697326443495846,0.3132172470978441,0.5,-0.1867827529021559,0.5781927554982478,-2.887685524346972,0.6400747268409855,-0.06188197134273776,False,312,0.36217948717948717,291,0.35738831615120276,0,0,0,0.0,12,0,603,3.2950819672131146,188.87,1.1697326443495846,False,35.21,
v11_slot30_dense_control_h2c12_with_b,run50BA_stage56_context_timed_opportunity_source_v1_v11_slot30_dense_control_h2c12_with_b,mt5_routed_v11_slot30_dense_control_h2c12_with_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x03_x03_rt_oos.htm,429,2.2,265.1,1.3216842616187356,0.617948717948718,0.5,0.11794871794871797,0.613271355956856,-4.106903474727099,0.6282646615086092,-0.014993305551753155,False,213,0.323943661971831,216,0.32407407407407407,0,0,0,0.0,12,0,429,2.2,265.1,1.3216842616187356,False,31.313333333333333,
v12_slot30_early_mid_bias_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v12_slot30_early_mid_bias_h2c12_no_b,mt5_routed_v12_slot30_early_mid_bias_h2c12_no_b_validation_is,validation_is,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x04_x04_rt_val.htm,458,2.5027322404371586,342.59999999999997,1.41225452445129,0.7480349344978166,0.5,0.24803493449781655,0.6168334098865211,-2.6545914248183777,0.6400747268409855,-0.023241316954464408,False,242,0.2892561983471074,216,0.33796296296296297,0,0,0,0.0,12,0,458,2.5027322404371586,342.59999999999997,1.41225452445129,False,37.06666666666667,
v12_slot30_early_mid_bias_h2c12_no_b,run50BA_stage56_context_timed_opportunity_source_v1_v12_slot30_early_mid_bias_h2c12_no_b,mt5_routed_v12_slot30_early_mid_bias_h2c12_no_b_oos,oos,completed,stages/56_base_engine__dense_tier_a_engine_and_tier_b_fallback_selection/02_runs/run50BA/mt5/reports/Project_Obsidian_Prime_v2_run50BA_stage56_context_timed_opportunity_source_v1_x04_x04_rt_oos.htm,343,1.758974358974359,153.81,1.2058953455684511,0.4484256559766764,0.5,-0.051574344023323615,0.622478926191874,-4.569106405792784,0.6282646615086092,-0.005785735316735208,False,179,0.3128491620111732,164,0.36585365853658536,0,0,0,0.0,12,0,343,1.758974358974359,153.81,1.2058953455684511,False,39.68,
