run_id,variant_id,split,axis,bucket,trade_count,net_profit,trade_share,profit_per_trade
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,session_slice,early,560,50.73,0.433772,0.090589
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,session_slice,late,334,139.94,0.258714,0.418982
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,session_slice,mid,397,-36.71,0.307514,-0.092469
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,volatility_regime,feature_missing,5,2.56,0.003873,0.512
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,volatility_regime,vol_high,702,189.08,0.543765,0.269345
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,volatility_regime,vol_mid,584,-37.68,0.452363,-0.064521
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,trend_regime,downtrend,942,150.68,0.729667,0.159958
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,trend_regime,feature_missing,5,2.56,0.003873,0.512
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,trend_regime,range_or_weak_trend,344,0.72,0.26646,0.002093
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,adx_bucket,adx_20_25,283,-99.41,0.21921,-0.351272
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,adx_bucket,adx_gt25,659,250.09,0.510457,0.379499
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,adx_bucket,adx_lt20,344,0.72,0.26646,0.002093
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,adx_bucket,feature_missing,5,2.56,0.003873,0.512
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,validation,spread_regime,spread_low,1291,153.96,1.0,0.119256
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,session_slice,early,454,109.76,0.439497,0.241762
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,session_slice,late,255,9.71,0.246854,0.038078
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,session_slice,mid,324,-11.78,0.31365,-0.036358
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,volatility_regime,feature_missing,11,6.42,0.010649,0.583636
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,volatility_regime,vol_high,519,102.65,0.50242,0.197784
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,volatility_regime,vol_mid,503,-1.38,0.486931,-0.002744
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,trend_regime,downtrend,760,-33.27,0.735721,-0.043776
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,trend_regime,feature_missing,11,6.42,0.010649,0.583636
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,trend_regime,range_or_weak_trend,262,134.54,0.25363,0.513511
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,adx_bucket,adx_20_25,208,0.18,0.201355,0.000865
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,adx_bucket,adx_gt25,552,-33.45,0.534366,-0.060598
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,adx_bucket,adx_lt20,262,134.54,0.25363,0.513511
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,adx_bucket,feature_missing,11,6.42,0.010649,0.583636
run50V_nfv_h6_s37l24_bcm_logreg_deep_v1,nfv_h6_s37l24_bcm,oos,spread_regime,spread_low,1033,107.69,1.0,0.10425
