run_id,variant_id,split,axis,bucket,trade_count,net_profit,trade_share,profit_per_trade
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,session_slice,early,513,123.57,0.468493,0.240877
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,session_slice,late,288,198.25,0.263014,0.688368
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,session_slice,mid,294,24.2,0.268493,0.082313
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,volatility_regime,feature_missing,9,-13.79,0.008219,-1.532222
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,volatility_regime,vol_high,549,211.11,0.50137,0.384536
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,volatility_regime,vol_low,225,10.23,0.205479,0.045467
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,volatility_regime,vol_mid,312,138.47,0.284932,0.443814
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,trend_regime,downtrend,769,222.54,0.702283,0.289389
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,trend_regime,feature_missing,9,-13.79,0.008219,-1.532222
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,trend_regime,range_or_weak_trend,317,137.27,0.289498,0.433028
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,adx_bucket,adx_20_25,111,103.25,0.10137,0.93018
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,adx_bucket,adx_gt25,658,119.29,0.600913,0.181292
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,adx_bucket,adx_lt20,317,137.27,0.289498,0.433028
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,adx_bucket,feature_missing,9,-13.79,0.008219,-1.532222
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,spread_regime,feature_missing,1,-1.83,0.000913,-1.83
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,validation,spread_regime,spread_low,1094,347.85,0.999087,0.317962
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,session_slice,early,405,249.78,0.486194,0.616741
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,session_slice,late,194,-1.81,0.232893,-0.00933
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,session_slice,mid,234,1.86,0.280912,0.007949
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,volatility_regime,feature_missing,15,16.84,0.018007,1.122667
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,volatility_regime,vol_high,360,-15.91,0.432173,-0.044194
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,volatility_regime,vol_low,135,81.58,0.162065,0.604296
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,volatility_regime,vol_mid,323,167.32,0.387755,0.518019
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,trend_regime,downtrend,548,80.51,0.657863,0.146916
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,trend_regime,feature_missing,15,16.84,0.018007,1.122667
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,trend_regime,range_or_weak_trend,270,152.48,0.32413,0.564741
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,adx_bucket,adx_20_25,87,175.72,0.104442,2.01977
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,adx_bucket,adx_gt25,461,-95.21,0.553421,-0.206529
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,adx_bucket,adx_lt20,270,152.48,0.32413,0.564741
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,adx_bucket,feature_missing,15,16.84,0.018007,1.122667
run50AT_et20h6_r030_b_logreg_deep_v1,et20h6_r030_b,oos,spread_regime,spread_low,833,249.83,1.0,0.299916
