run_id,variant_id,split,axis,bucket,trade_count,net_profit,trade_share,profit_per_trade
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,session_slice,early,312,-6.75,0.489796,-0.021635
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,session_slice,late,147,72.15,0.230769,0.490816
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,session_slice,mid,178,-74.66,0.279435,-0.419438
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,volatility_regime,feature_missing,4,-2.23,0.006279,-0.5575
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,volatility_regime,vol_high,323,-35.58,0.507064,-0.110155
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,volatility_regime,vol_low,144,2.56,0.22606,0.017778
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,volatility_regime,vol_mid,166,25.99,0.260597,0.156566
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,trend_regime,downtrend,461,36.78,0.723705,0.079783
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,trend_regime,feature_missing,4,-2.23,0.006279,-0.5575
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,trend_regime,range_or_weak_trend,172,-43.81,0.270016,-0.254709
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,adx_bucket,adx_20_25,60,-57.33,0.094192,-0.9555
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,adx_bucket,adx_gt25,401,94.11,0.629513,0.234688
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,adx_bucket,adx_lt20,172,-43.81,0.270016,-0.254709
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,adx_bucket,feature_missing,4,-2.23,0.006279,-0.5575
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,validation,spread_regime,spread_low,637,-9.26,1.0,-0.014537
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,session_slice,early,258,170.94,0.495202,0.662558
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,session_slice,late,114,24.72,0.21881,0.216842
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,session_slice,mid,149,-10.86,0.285988,-0.072886
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,volatility_regime,feature_missing,7,23.27,0.013436,3.324286
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,volatility_regime,vol_high,220,55.27,0.422265,0.251227
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,volatility_regime,vol_low,93,45.64,0.178503,0.490753
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,volatility_regime,vol_mid,201,60.62,0.385797,0.301592
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,trend_regime,downtrend,346,155.81,0.664107,0.450318
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,trend_regime,feature_missing,7,23.27,0.013436,3.324286
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,trend_regime,range_or_weak_trend,168,5.72,0.322457,0.034048
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,adx_bucket,adx_20_25,52,51.46,0.099808,0.989615
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,adx_bucket,adx_gt25,294,104.35,0.564299,0.354932
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,adx_bucket,adx_lt20,168,5.72,0.322457,0.034048
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,adx_bucket,feature_missing,7,23.27,0.013436,3.324286
run50AV_et40c12_h4_s220l140_b_logreg_deep_v1,et40c12_h4_s220l140_b,oos,spread_regime,spread_low,521,184.8,1.0,0.354702
