split,axis,bucket,trade_count,net_profit,profit_factor,win_rate,expectancy,cost_stressed_expectancy,trade_share,net_share,mfe_mean,mae_mean,realized_over_mfe_mean,mfe_capture_ratio,quality_flag
validation_is,session_slice,early,474,297.34,1.171093516,0.5105485232,0.6272995781,0.130988827,0.3490427099,0.2944164447,8.519272152,7.583022152,-6.927912454,0.07363300137,acceptable_measurement_only
validation_is,session_slice,late,431,289.24,1.145691561,0.4524361949,0.6710904872,0.1747797361,0.3173784978,0.2863960869,10.35820766,9.495330626,-5.800521872,0.06478828283,acceptable_measurement_only
validation_is,session_slice,mid,453,423.35,1.342399832,0.4856512141,0.9345474614,0.4382367103,0.3335787923,0.4191874684,6.778476821,5.948151214,-2.763946716,0.1378698321,acceptable_measurement_only
validation_is,volatility_regime,feature_missing,1,0.64,,1,0.64,0.1436892489,0.000736377025,0.0006337072866,4.375,5.5,0.1462857143,0.1462857143,acceptable_measurement_only
validation_is,volatility_regime,vol_high,534,820.47,1.348613991,0.4831460674,1.536460674,1.040149923,0.3932253314,0.8124028398,11.3311985,9.60673221,-3.638444202,0.1355956013,bucket_profit_concentration
validation_is,volatility_regime,vol_low,485,-238.11,0.8585104107,0.4659793814,-0.4909484536,-0.9872592047,0.3571428571,-0.2357688157,6.233742268,6.694252577,-6.659305234,-0.07875661721,bucket_pf_below_one
validation_is,volatility_regime,vol_mid,338,426.93,1.46245085,0.5088757396,1.263106509,0.7667957578,0.2488954345,0.4227322686,7.380392012,5.914630178,-5.468308057,0.1711435527,acceptable_measurement_only
validation_is,trend_regime,downtrend,957,975.05,1.282175797,0.4785788924,1.018861024,0.5225502729,0.704712813,0.9654629529,8.753435214,7.686687565,-4.224415885,0.1163955635,bucket_profit_concentration;bucket_trade_concentration
validation_is,trend_regime,feature_missing,1,0.64,,1,0.64,0.1436892489,0.000736377025,0.0006337072866,4.375,5.5,0.1462857143,0.1462857143,acceptable_measurement_only
validation_is,trend_regime,range_or_weak_trend,400,34.24,1.022764141,0.495,0.0856,-0.4107107511,0.29455081,0.03390333984,7.9794,7.54923125,-7.415158143,0.01072762363,acceptable_measurement_only
validation_is,adx_bucket,adx_20_25,272,462.87,1.449414529,0.4632352941,1.701727941,1.20541719,0.2002945508,0.4583188934,9.890597426,7.758860294,-2.233454731,0.1720551214,acceptable_measurement_only
validation_is,adx_bucket,adx_gt25,685,512.18,1.211162097,0.4846715328,0.7477080292,0.2513972781,0.5044182622,0.5071440595,8.301890511,7.658029197,-5.020800346,0.09006479045,acceptable_measurement_only
validation_is,adx_bucket,adx_lt20,400,34.24,1.022764141,0.495,0.0856,-0.4107107511,0.29455081,0.03390333984,7.9794,7.54923125,-7.415158143,0.01072762363,acceptable_measurement_only
validation_is,adx_bucket,feature_missing,1,0.64,,1,0.64,0.1436892489,0.000736377025,0.0006337072866,4.375,5.5,0.1462857143,0.1462857143,acceptable_measurement_only
validation_is,spread_regime,feature_missing,1,0.64,,1,0.64,0.1436892489,0.000736377025,0.0006337072866,4.375,5.5,0.1462857143,0.1462857143,acceptable_measurement_only
validation_is,spread_regime,spread_low,1357,1009.29,1.203502709,0.4834193073,0.7437656595,0.2474549084,0.999263623,0.9993662927,8.525274503,7.64616986,-5.171516872,0.08724242947,bucket_profit_concentration;bucket_trade_concentration
validation_is,weather_proxy,not_available_use_session_volatility_trend_spread_proxies,1358,1009.93,1.203631752,0.4837997054,0.7436892489,0.2473784978,1,1,8.522218336,7.64458947,-5.167503436,0.08726474957,bucket_profit_concentration;bucket_trade_concentration;weather_not_directly_available
oos,session_slice,early,351,429.32,1.325834851,0.5299145299,1.223133903,0.7276309445,0.3461538462,0.4092737707,9.189373219,8.293888889,-2.021672527,0.1331030827,acceptable_measurement_only
oos,session_slice,late,297,459.66,1.416615307,0.5117845118,1.547676768,1.052173809,0.2928994083,0.4381971058,11.16245791,9.373055556,-4.00754782,0.1386501772,acceptable_measurement_only
oos,session_slice,mid,366,160,1.147297098,0.5191256831,0.4371584699,-0.05834448865,0.3609467456,0.1525291235,6.574945355,6.292056011,-3.374536122,0.06648853281,acceptable_measurement_only
oos,volatility_regime,feature_missing,1,-7.3,0,0,-7.3,-7.795502959,0.0009861932939,-0.006959141261,0,9.125,,,bucket_pf_below_one
oos,volatility_regime,vol_high,384,1079.85,1.841548665,0.5677083333,2.812109375,2.316606416,0.3786982249,1.029428588,10.96751302,8.450572917,-2.639496947,0.2564035593,bucket_profit_concentration
oos,volatility_regime,vol_low,304,-29.59,0.9713541667,0.4671052632,-0.09733552632,-0.5928384849,0.2998027613,-0.02820835478,7.024613487,7.250139803,-4.349964664,-0.01385635331,bucket_pf_below_one
oos,volatility_regime,vol_mid,325,6.02,1.005085619,0.5169230769,0.01852307692,-0.4769798817,0.3205128205,0.005738908273,8.000438462,7.814330769,-2.502981488,0.002315257721,acceptable_measurement_only
oos,trend_regime,downtrend,712,780.14,1.321920945,0.518258427,1.095702247,0.6001992886,0.7021696252,0.7437129402,8.703844803,7.749968399,-2.922335532,0.1258871535,bucket_profit_concentration;bucket_trade_concentration
oos,trend_regime,feature_missing,1,-7.3,0,0,-7.3,-7.795502959,0.0009861932939,-0.006959141261,0,9.125,,,bucket_pf_below_one
