attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s59ac_v64_gap14_t59_h1_entrytrans_sd5_ta_val,s59ac_v64_gap14_t59_h1_entrytrans_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h1_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h1_entrytrans_sd5_ta_val_telemetry.csv,completed,9844,0,0.0059183259,0.0300000000,0.0059183259,0.0300000000,0.0394964351,0.6390531317,0.0385300691,0.6300000000,0.0299994337,0.0057313352,3634.3977404655,9085.9943511638,12720.3920916294,mid,190bae0d2a7ed5f8ae6ae9d1a1e1a21b9c3ab185b80b325021451c812f359e66
s59ac_v64_gap14_t59_h1_entrytrans_sd5_rt_val,s59ac_v64_gap14_t59_h1_entrytrans_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h1_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h1_entrytrans_sd5_rt_val_telemetry.csv,completed,9844,0,0.0059183259,0.0300000000,0.0059183259,0.0300000000,0.0394964351,0.6390531317,0.0385300691,0.6300000000,0.0299994337,0.0057313352,3634.3977404655,9085.9943511638,12720.3920916294,mid,190bae0d2a7ed5f8ae6ae9d1a1e1a21b9c3ab185b80b325021451c812f359e66
s59ac_v64_gap14_t59_h1_entrytrans_sd5_ta_oos,s59ac_v64_gap14_t59_h1_entrytrans_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h1_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h1_entrytrans_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0059018987,0.0300000000,0.0059018987,0.0300000000,0.0403343201,0.9186937705,0.0393697257,0.9100000000,0.0299991195,0.0057279259,3903.3644985684,9758.4112464210,13661.7757449894,mid,0398782f018722aa3098ee1c498d949f08f80c2fb1fbc39e53d28244b71b6e1e
s59ac_v64_gap14_t59_h1_entrytrans_sd5_rt_oos,s59ac_v64_gap14_t59_h1_entrytrans_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h1_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h1_entrytrans_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0059018987,0.0300000000,0.0059018987,0.0300000000,0.0403343201,0.9186937705,0.0393697257,0.9100000000,0.0299991195,0.0057279259,3903.3644985684,9758.4112464210,13661.7757449894,mid,0398782f018722aa3098ee1c498d949f08f80c2fb1fbc39e53d28244b71b6e1e
s59ac_v64_gap14_t59_h3_entrytrans_sd5_ta_val,s59ac_v64_gap14_t59_h3_entrytrans_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h3_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h3_entrytrans_sd5_ta_val_telemetry.csv,completed,9844,0,0.0059762292,0.0300000000,0.0059762292,0.0300000000,0.0469050472,0.9100592657,0.0459183259,0.9100000000,0.0299989520,0.0057999270,3634.3977404655,9085.9943511638,12720.3920916294,mid,fdd1342396f454df31d5b4cb3abb0ddf9d890ebf0ad59d2eb0baefd6fcf860f2
s59ac_v64_gap14_t59_h3_entrytrans_sd5_rt_val,s59ac_v64_gap14_t59_h3_entrytrans_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h3_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h3_entrytrans_sd5_rt_val_telemetry.csv,completed,9844,0,0.0059762292,0.0300000000,0.0059762292,0.0300000000,0.0469050472,0.9100592657,0.0459183259,0.9100000000,0.0299989520,0.0057999270,3634.3977404655,9085.9943511638,12720.3920916294,mid,fdd1342396f454df31d5b4cb3abb0ddf9d890ebf0ad59d2eb0baefd6fcf860f2
s59ac_v64_gap14_t59_h3_entrytrans_sd5_ta_oos,s59ac_v64_gap14_t59_h3_entrytrans_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h3_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h3_entrytrans_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0059137658,0.0300000000,0.0059137658,0.0300000000,0.0507800677,1.1308695082,0.0497771624,1.1300000000,0.0299995960,0.0057635633,3903.3644985684,9758.4112464210,13661.7757449894,mid,e76a3fe832c44ba3541172b054899bbf59ab5dd7c3dfbeaea0836acc451d932d
s59ac_v64_gap14_t59_h3_entrytrans_sd5_rt_oos,s59ac_v64_gap14_t59_h3_entrytrans_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h3_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h3_entrytrans_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0059137658,0.0300000000,0.0059137658,0.0300000000,0.0507800677,1.1308695082,0.0497771624,1.1300000000,0.0299995960,0.0057635633,3903.3644985684,9758.4112464210,13661.7757449894,mid,e76a3fe832c44ba3541172b054899bbf59ab5dd7c3dfbeaea0836acc451d932d
s59ac_v64_gap14_t59_h4_entrytrans_sd5_ta_val,s59ac_v64_gap14_t59_h4_entrytrans_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h4_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h4_entrytrans_sd5_ta_val_telemetry.csv,completed,9844,0,0.0059670866,0.0300000000,0.0059670866,0.0300000000,0.0473396806,0.8655868421,0.0463419342,0.8600000000,0.0299987850,0.0057947714,3634.3977404655,9085.9943511638,12720.3920916294,mid,5a19ac3fea6b792aae8b3305d3e061048417925dca030bc164fdfb64f373eaf5
s59ac_v64_gap14_t59_h4_entrytrans_sd5_rt_val,s59ac_v64_gap14_t59_h4_entrytrans_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59ac/run59X/s59ac_v64_gap14_t59_h4_entrytrans_sd5/telemetry/s59ac_v64_gap14_t59_h4_entrytrans_sd5_rt_val_telemetry.csv,completed,9844,0,0.0059670866,0.0300000000,0.0059670866,0.0300000000,0.0473396806,0.8655868421,0.0463419342,0.8600000000,0.0299987850,0.0057947714,3634.3977404655,9085.9943511638,12720.3920916294,mid,5a19ac3fea6b792aae8b3305d3e061048417925dca030bc164fdfb64f373eaf5
