attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s59b_v64_control_thr57_mr03_wideatr_sd5_ta_val,s59b_v64_control_thr57_mr03_wideatr_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v64_control_thr57_mr03_wideatr_sd5/telemetry/s59b_v64_control_thr57_mr03_wideatr_sd5_ta_val_telemetry.csv,completed,9844,0,0.0063571719,0.0300000000,0.0063571719,0.0300000000,0.0533161474,0.9936311015,0.0522490857,0.9900000000,0.0299999164,0.0061859574,3634.3977404655,9085.9943511638,12720.3920916294,mid,45c60f9d73f01048bc593c916972f54792867bc5f978e61af3882a01662580a4
s59b_v64_control_thr57_mr03_wideatr_sd5_rt_val,s59b_v64_control_thr57_mr03_wideatr_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v64_control_thr57_mr03_wideatr_sd5/telemetry/s59b_v64_control_thr57_mr03_wideatr_sd5_rt_val_telemetry.csv,completed,9844,0,0.0063571719,0.0300000000,0.0063571719,0.0300000000,0.0533161474,0.9936311015,0.0522490857,0.9900000000,0.0299999164,0.0061859574,3634.3977404655,9085.9943511638,12720.3920916294,mid,45c60f9d73f01048bc593c916972f54792867bc5f978e61af3882a01662580a4
s59b_v64_control_thr57_mr03_wideatr_sd5_ta_oos,s59b_v64_control_thr57_mr03_wideatr_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v64_control_thr57_mr03_wideatr_sd5/telemetry/s59b_v64_control_thr57_mr03_wideatr_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0062223101,0.0300000000,0.0062223101,0.0300000000,0.0502201409,1.0256430108,0.0491561181,1.0200000000,0.0299970666,0.0060566518,3903.3644985684,9758.4112464210,13661.7757449894,mid,58365d76157e05c2b779609d89c3afee472cfc76695ffde23ba14312866dc12e
s59b_v64_control_thr57_mr03_wideatr_sd5_rt_oos,s59b_v64_control_thr57_mr03_wideatr_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v64_control_thr57_mr03_wideatr_sd5/telemetry/s59b_v64_control_thr57_mr03_wideatr_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0062223101,0.0300000000,0.0062223101,0.0300000000,0.0502201409,1.0256430108,0.0491561181,1.0200000000,0.0299970666,0.0060566518,3903.3644985684,9758.4112464210,13661.7757449894,mid,58365d76157e05c2b779609d89c3afee472cfc76695ffde23ba14312866dc12e
s59b_v60_backup_thr55_mr03_wideatr_sd5_ta_val,s59b_v60_backup_thr55_mr03_wideatr_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr55_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr55_mr03_wideatr_sd5_ta_val_telemetry.csv,completed,9844,0,0.0069514425,0.0300000000,0.0069514425,0.0300000000,0.0582896482,0.8846016415,0.0571048354,0.8800000000,0.0299999214,0.0067661384,3634.3977404655,9085.9943511638,12720.3920916294,mid,5ebae4b8d96d98618dce78dd4067d6a5ec9b91a28d23fa975eea71c438494501
s59b_v60_backup_thr55_mr03_wideatr_sd5_rt_val,s59b_v60_backup_thr55_mr03_wideatr_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr55_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr55_mr03_wideatr_sd5_rt_val_telemetry.csv,completed,9844,0,0.0069514425,0.0300000000,0.0069514425,0.0300000000,0.0582896482,0.8846016415,0.0571048354,0.8800000000,0.0299999214,0.0067661384,3634.3977404655,9085.9943511638,12720.3920916294,mid,5ebae4b8d96d98618dce78dd4067d6a5ec9b91a28d23fa975eea71c438494501
s59b_v60_backup_thr55_mr03_wideatr_sd5_ta_oos,s59b_v60_backup_thr55_mr03_wideatr_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr55_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr55_mr03_wideatr_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0068710443,0.0300000000,0.0068710443,0.0300000000,0.0468890061,0.8605601643,0.0457476266,0.8600000000,0.0299981387,0.0066674575,3903.3644985684,9758.4112464210,13661.7757449894,mid,5a6f09afe25cd099ffd95cb7453e0169ec0db7ad88de68552d6f72fc3300919a
s59b_v60_backup_thr55_mr03_wideatr_sd5_rt_oos,s59b_v60_backup_thr55_mr03_wideatr_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr55_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr55_mr03_wideatr_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0068710443,0.0300000000,0.0068710443,0.0300000000,0.0468890061,0.8605601643,0.0457476266,0.8600000000,0.0299981387,0.0066674575,3903.3644985684,9758.4112464210,13661.7757449894,mid,5a6f09afe25cd099ffd95cb7453e0169ec0db7ad88de68552d6f72fc3300919a
s59b_v60_backup_thr57_mr03_wideatr_sd5_ta_val,s59b_v60_backup_thr57_mr03_wideatr_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr57_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr57_mr03_wideatr_sd5_ta_val_telemetry.csv,completed,9844,0,0.0069514425,0.0300000000,0.0069514425,0.0300000000,0.0582896482,0.8846016415,0.0571048354,0.8800000000,0.0299999214,0.0067661384,3634.3977404655,9085.9943511638,12720.3920916294,mid,0e1b19c313b03f7c15a4be58b39a78e7d9f10af6ec31521e347139d435f5606d
s59b_v60_backup_thr57_mr03_wideatr_sd5_rt_val,s59b_v60_backup_thr57_mr03_wideatr_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr57_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr57_mr03_wideatr_sd5_rt_val_telemetry.csv,completed,9844,0,0.0069514425,0.0300000000,0.0069514425,0.0300000000,0.0582896482,0.8846016415,0.0571048354,0.8800000000,0.0299999214,0.0067661384,3634.3977404655,9085.9943511638,12720.3920916294,mid,0e1b19c313b03f7c15a4be58b39a78e7d9f10af6ec31521e347139d435f5606d
s59b_v60_backup_thr57_mr03_wideatr_sd5_ta_oos,s59b_v60_backup_thr57_mr03_wideatr_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr57_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr57_mr03_wideatr_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0068710443,0.0300000000,0.0068710443,0.0300000000,0.0468890061,0.8605601643,0.0457476266,0.8600000000,0.0299981387,0.0066674575,3903.3644985684,9758.4112464210,13661.7757449894,mid,f48001c91fdd8bcd0a42ff5f408e24b2d4ec881762a1b0ff2ffbf44c0423b52d
s59b_v60_backup_thr57_mr03_wideatr_sd5_rt_oos,s59b_v60_backup_thr57_mr03_wideatr_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/stage59b/run55A_model_source_or_backup_branch/s59b_v60_backup_thr57_mr03_wideatr_sd5/telemetry/s59b_v60_backup_thr57_mr03_wideatr_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0068710443,0.0300000000,0.0068710443,0.0300000000,0.0468890061,0.8605601643,0.0457476266,0.8600000000,0.0299981387,0.0066674575,3903.3644985684,9758.4112464210,13661.7757449894,mid,f48001c91fdd8bcd0a42ff5f408e24b2d4ec881762a1b0ff2ffbf44c0423b52d
