attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s59g_v54_sd10_ta_val,s59g_v54_sd10,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_sd10/telemetry/s59g_v54_sd10_ta_val_telemetry.csv,completed,9844,0,0.0054063389,0.0300000000,0.0054063389,0.0300000000,0.0266583009,0.5622161137,0.0257537586,0.5600000000,0.0299974925,0.0051748871,3634.3977404655,9085.9943511638,12720.3920916294,mid,b149303d11b32801ffddea3e222ba06bbc8c7fe48119b61eca1962e0dedea8c5
s59g_v54_sd10_rt_val,s59g_v54_sd10,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_sd10/telemetry/s59g_v54_sd10_rt_val_telemetry.csv,completed,9844,0,0.0054063389,0.0300000000,0.0054063389,0.0300000000,0.0266583009,0.5622161137,0.0257537586,0.5600000000,0.0299974925,0.0051748871,3634.3977404655,9085.9943511638,12720.3920916294,mid,b149303d11b32801ffddea3e222ba06bbc8c7fe48119b61eca1962e0dedea8c5
s59g_v54_sd10_ta_oos,s59g_v54_sd10,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_sd10/telemetry/s59g_v54_sd10_ta_oos_telemetry.csv,completed,7584,0,0.0057950949,0.0300000000,0.0057950949,0.0300000000,0.0423402677,0.5917322992,0.0413660338,0.5900000000,0.0299993972,0.0056446331,3903.3644985684,9758.4112464210,13661.7757449894,mid,61109a40a59046f9db3e191fe82369f6870d316ec6307f4c2fc8cfdb47399886
s59g_v54_sd10_rt_oos,s59g_v54_sd10,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_sd10/telemetry/s59g_v54_sd10_rt_oos_telemetry.csv,completed,7584,0,0.0057950949,0.0300000000,0.0057950949,0.0300000000,0.0423402677,0.5917322992,0.0413660338,0.5900000000,0.0299993972,0.0056446331,3903.3644985684,9758.4112464210,13661.7757449894,mid,61109a40a59046f9db3e191fe82369f6870d316ec6307f4c2fc8cfdb47399886
s59g_v54_th60_sd8_ta_val,s59g_v54_th60_sd8,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_th60_sd8/telemetry/s59g_v54_th60_sd8_ta_val_telemetry.csv,completed,9844,0,0.0054063389,0.0300000000,0.0054063389,0.0300000000,0.0292143492,0.5975677725,0.0283218204,0.5900000000,0.0299998906,0.0052072805,3634.3977404655,9085.9943511638,12720.3920916294,mid,b73c5c0a3332652d0979a882399cd5ca377a39ccc76f90fa32aa9cc4723b9f71
s59g_v54_th60_sd8_rt_val,s59g_v54_th60_sd8,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_th60_sd8/telemetry/s59g_v54_th60_sd8_rt_val_telemetry.csv,completed,9844,0,0.0054063389,0.0300000000,0.0054063389,0.0300000000,0.0292143492,0.5975677725,0.0283218204,0.5900000000,0.0299998906,0.0052072805,3634.3977404655,9085.9943511638,12720.3920916294,mid,b73c5c0a3332652d0979a882399cd5ca377a39ccc76f90fa32aa9cc4723b9f71
s59g_v54_th60_sd8_ta_oos,s59g_v54_th60_sd8,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_th60_sd8/telemetry/s59g_v54_th60_sd8_ta_oos_telemetry.csv,completed,7584,0,0.0057950949,0.0300000000,0.0057950949,0.0300000000,0.0388017669,0.5448767328,0.0378309599,0.5400000000,0.0299999105,0.0056306304,3903.3644985684,9758.4112464210,13661.7757449894,mid,4036fb06009a11228cf74a0c74f2b9301bc365c6227564516d3edf4d90940e46
s59g_v54_th60_sd8_rt_oos,s59g_v54_th60_sd8,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_th60_sd8/telemetry/s59g_v54_th60_sd8_rt_oos_telemetry.csv,completed,7584,0,0.0057950949,0.0300000000,0.0057950949,0.0300000000,0.0388017669,0.5448767328,0.0378309599,0.5400000000,0.0299999105,0.0056306304,3903.3644985684,9758.4112464210,13661.7757449894,mid,4036fb06009a11228cf74a0c74f2b9301bc365c6227564516d3edf4d90940e46
s59g_v54_trn02_sd8_ta_val,s59g_v54_trn02_sd8,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_trn02_sd8/telemetry/s59g_v54_trn02_sd8_ta_val_telemetry.csv,completed,9844,0,0.0053850061,0.0300000000,0.0053850061,0.0300000000,0.0276265655,0.5483620853,0.0267228769,0.5400000000,0.0299991995,0.0051672528,3634.3977404655,9085.9943511638,12720.3920916294,mid,9fb5b1c64891dee6fd1221f8b7323b7e3144a06106ef7bbc259e00be94fecbc2
s59g_v54_trn02_sd8_rt_val,s59g_v54_trn02_sd8,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59g/run59B/s59g_v54_trn02_sd8/telemetry/s59g_v54_trn02_sd8_rt_val_telemetry.csv,completed,9844,0,0.0053850061,0.0300000000,0.0053850061,0.0300000000,0.0276265655,0.5483620853,0.0267228769,0.5400000000,0.0299991995,0.0051672528,3634.3977404655,9085.9943511638,12720.3920916294,mid,9fb5b1c64891dee6fd1221f8b7323b7e3144a06106ef7bbc259e00be94fecbc2
