run_id,adapter_id,repair_label,split,view,segment_type,segment,atr_enabled,model_risk_enabled,trade_count,trades_per_day,net_profit,profit_factor,win_rate,expectancy,max_closed_trade_drawdown,mfe_mean,mae_mean,realized_over_mfe_mean,mfe_capture_ratio,avg_model_risk_pct,avg_executed_lot,avg_open_sl_points,avg_open_tp_points,quality_flag,report_path
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,full_split,actual_routed_total,True,True,1324,7.2349726776,-0.7900000000,0.9997810373,0.4871601208,-0.0005966767,231.9700000000,5.3225424471,5.2741564199,-6.4596466000,-0.0001121037,0.0064211703,0.0481470947,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_val.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,early,True,True,442,2.4153005464,0.1100000000,1.0001114071,0.4705882353,0.0002488688,136.6500000000,4.3636852941,4.3539662896,-7.2760118096,0.0000570318,0.0064211703,0.0481470947,9085.9943511638,12720.3920916294,weak_segment_pf,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_val.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,mid,True,True,441,2.4098360656,148.4800000000,1.1237137453,0.5124716553,0.3366893424,134.6800000000,5.7175233560,5.3888190476,-5.2602451052,0.0588872701,0.0064211703,0.0481470947,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_val.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,late,True,True,441,2.4098360656,-149.3800000000,0.8948294799,0.4784580499,-0.3387301587,185.5300000000,5.8885929705,6.0817705215,-6.8537747387,-0.0575231062,0.0064211703,0.0481470947,9085.9943511638,12720.3920916294,negative_or_flat_segment;weak_segment_pf;validation_late_flatline_risk,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_val.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,full_split,actual_routed_total,True,True,1017,5.2153846154,-25.7400000000,0.9893525489,0.5034414946,-0.0253097345,240.7100000000,4.5782008850,4.5049882989,-3.2659223965,-0.0055283145,0.0064675633,0.0370872890,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_oos.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,early,True,True,339,1.7384615385,26.9500000000,1.0307210031,0.5103244838,0.0794985251,143.1400000000,5.1095598820,5.0030758112,-3.1863807126,0.0155587814,0.0064675633,0.0370872890,9758.4112464210,13661.7757449894,weak_segment_pf;oos_early_pf_weak,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_oos.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,mid,True,True,339,1.7384615385,-108.1300000000,0.8747799704,0.4896755162,-0.3189675516,159.8800000000,4.4054005900,4.5540793510,-3.7502730113,-0.0724037565,0.0064675633,0.0370872890,9758.4112464210,13661.7757449894,negative_or_flat_segment;weak_segment_pf,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_oos.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v61_trn_h2_sd5,run50BQ_v61_transition_h2_threshold57_risk3pct_wide_atr_sd5,oos,actual_routed_total,chronological_third,late,True,True,339,1.7384615385,55.4400000000,1.0819257880,0.5103244838,0.1635398230,106.3100000000,4.2196421829,3.9578097345,-2.8611349824,0.0387567988,0.0064675633,0.0370872890,9758.4112464210,13661.7757449894,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v61_trn_h2_sd5_rt_oos.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v62_trn_h4_sd5,run50BQ_v62_transition_h4_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,full_split,actual_routed_total,True,True,1208,6.6010928962,116.7800000000,1.0205672822,0.4859271523,0.0966721854,477.5400000000,9.0962898179,8.5796044702,-5.4483520748,0.0106276501,0.0065004063,0.0576980902,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v62_trn_h4_sd5_rt_val.htm
run59E_stage59j_new_model_branch_from_stage59i_v1,s59j_v62_trn_h4_sd5,run50BQ_v62_transition_h4_threshold57_risk3pct_wide_atr_sd5,validation_is,actual_routed_total,chronological_third,early,True,True,403,2.2021857923,172.5900000000,1.1090423179,0.4838709677,0.4282630273,123.9800000000,8.0837344913,7.3857119107,-5.6317023354,0.0529783639,0.0065004063,0.0576980902,9085.9943511638,12720.3920916294,acceptable_measurement_only,stages/59J_adapter_repair__new_model_branch_from_stage59i/02_runs/run59E/mt5/reports/Project_Obsidian_Prime_v2_run59E_stage59j_new_model_branch_from_stage59i_v1_s59j_v62_trn_h4_sd5_rt_val.htm
