attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s59k_v62_th60_sd5_ta_val,s59k_v62_th60_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_sd5/telemetry/s59k_v62_th60_sd5_ta_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,cc81e3a02f9949d5f3615f8bae1ece18c51e86d4ffb7c9505995515812240650
s59k_v62_th60_sd5_rt_val,s59k_v62_th60_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_sd5/telemetry/s59k_v62_th60_sd5_rt_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,cc81e3a02f9949d5f3615f8bae1ece18c51e86d4ffb7c9505995515812240650
s59k_v62_th60_sd5_ta_oos,s59k_v62_th60_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_sd5/telemetry/s59k_v62_th60_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,5fc8a4491244b595a056f862ec1f161cbe36048d75510ae6ebe0338d98bb22dc
s59k_v62_th60_sd5_rt_oos,s59k_v62_th60_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_sd5/telemetry/s59k_v62_th60_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,5fc8a4491244b595a056f862ec1f161cbe36048d75510ae6ebe0338d98bb22dc
s59k_v62_th62_sd5_ta_val,s59k_v62_th62_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th62_sd5/telemetry/s59k_v62_th62_sd5_ta_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,dfee2fb1ea4d594f0fd0f8639334be93c4c3aedb59e8089a70ad3a6d8a7dcf42
s59k_v62_th62_sd5_rt_val,s59k_v62_th62_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th62_sd5/telemetry/s59k_v62_th62_sd5_rt_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,dfee2fb1ea4d594f0fd0f8639334be93c4c3aedb59e8089a70ad3a6d8a7dcf42
s59k_v62_th62_sd5_ta_oos,s59k_v62_th62_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th62_sd5/telemetry/s59k_v62_th62_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,7c13938b550a5a61b1f472b9d1f7cd2cd41fe359d96c791d527a5b9773d2ff6b
s59k_v62_th62_sd5_rt_oos,s59k_v62_th62_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th62_sd5/telemetry/s59k_v62_th62_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,7c13938b550a5a61b1f472b9d1f7cd2cd41fe359d96c791d527a5b9773d2ff6b
s59k_v62_th60_rearm02_sd5_ta_val,s59k_v62_th60_rearm02_sd5,validation_is,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_rearm02_sd5/telemetry/s59k_v62_th60_rearm02_sd5_ta_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,2f168c4ae5189c87a4b9b3b8015c929348a476f7ca11091999b8198771bd2530
s59k_v62_th60_rearm02_sd5_rt_val,s59k_v62_th60_rearm02_sd5,validation_is,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_rearm02_sd5/telemetry/s59k_v62_th60_rearm02_sd5_rt_val_telemetry.csv,completed,9844,0,0.0065004063,0.0300000000,0.0065004063,0.0300000000,0.0587675239,0.9399710526,0.0576980902,0.9300000000,0.0299999022,0.0063422188,3634.3977404655,9085.9943511638,12720.3920916294,mid,2f168c4ae5189c87a4b9b3b8015c929348a476f7ca11091999b8198771bd2530
s59k_v62_th60_rearm02_sd5_ta_oos,s59k_v62_th60_rearm02_sd5,oos,Tier A,tier_a_only,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_rearm02_sd5/telemetry/s59k_v62_th60_rearm02_sd5_ta_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,8eae766e6d2a2fa9685d9a48e2b9ce3a064128227bd58ac374d0bf39c460bb97
s59k_v62_th60_rearm02_sd5_rt_oos,s59k_v62_th60_rearm02_sd5,oos,Tier A+B,actual_routed_total,True,True,2.5000000000,3.5000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59k/run59F/s59k_v62_th60_rearm02_sd5/telemetry/s59k_v62_th60_rearm02_sd5_rt_oos_telemetry.csv,completed,7584,0,0.0065268987,0.0300000000,0.0065268987,0.0300000000,0.0538779263,1.0848393443,0.0528032700,1.0800000000,0.0299996635,0.0063643306,3903.3644985684,9758.4112464210,13661.7757449894,mid,8eae766e6d2a2fa9685d9a48e2b9ce3a064128227bd58ac374d0bf39c460bb97
