ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd8_ta_val.htm,net_profit=555.7;pf=1.08;expectancy=0.49;trades=1126;win_rate=49.47,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=493.49;recovery=1.13;fill=1971;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_routed_s59n_v62_sl20_tp30_sd8_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd8_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd8_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd8_rt_val.htm,net_profit=555.7;pf=1.08;expectancy=0.49;trades=1126;win_rate=49.47,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=493.49;recovery=1.13;fill=1971;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_oos,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_oos,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd8_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd8_ta_oos.htm,net_profit=180.16;pf=1.05;expectancy=0.21;trades=865;win_rate=50.17,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=378.84;recovery=0.48;fill=1526;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_routed_s59n_v62_sl20_tp30_sd8_oos,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd8_oos,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd8_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd8_rt_oos.htm,net_profit=180.16;pf=1.05;expectancy=0.21;trades=865;win_rate=50.17,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=378.84;recovery=0.48;fill=1526;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd10_ta_val.htm,net_profit=674.79;pf=1.09;expectancy=0.62;trades=1080;win_rate=49.44,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=502.41;recovery=1.34;fill=1900;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_routed_s59n_v62_sl20_tp30_sd10_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd10_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd10_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd10_rt_val.htm,net_profit=674.79;pf=1.09;expectancy=0.62;trades=1080;win_rate=49.44,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=502.41;recovery=1.34;fill=1900;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_oos,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_oos,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd10_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd10_ta_oos.htm,net_profit=151.61;pf=1.04;expectancy=0.18;trades=836;win_rate=50.12,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=301.08;recovery=0.5;fill=1467;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_routed_s59n_v62_sl20_tp30_sd10_oos,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd10_oos,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd10_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd10_rt_oos.htm,net_profit=151.61;pf=1.04;expectancy=0.18;trades=836;win_rate=50.12,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=301.08;recovery=0.5;fill=1467;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_tier_a_only_s59n_v62_sl20_tp30_sd12_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd12_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_tier_a_only_s59n_v62_sl20_tp30_sd12_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd12_ta_val.htm,net_profit=735.22;pf=1.1;expectancy=0.7;trades=1057;win_rate=49.57,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=496.39;recovery=1.48;fill=1857;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59I_stage59n_bounded_followup_from_stage59m_v1__mt5_routed_s59n_v62_sl20_tp30_sd12_validation_is,59N_adapter_repair__bounded_followup_from_stage59m,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd12_validation_is,run59I_stage59n_bounded_followup_from_stage59m_v1,mt5_routed_s59n_v62_sl20_tp30_sd12_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59N_adapter_repair__bounded_followup_from_stage59m/02_runs/run59I/mt5/reports/Project_Obsidian_Prime_v2_run59I_stage59n_bounded_followup_from_stage59m_v1_s59n_v62_sl20_tp30_sd12_rt_val.htm,net_profit=735.22;pf=1.1;expectancy=0.7;trades=1057;win_rate=49.57,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=496.39;recovery=1.48;fill=1857;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
