run_id,adapter_id,repair_label,split,view,route_role,tier_b_policy,atr_enabled,model_risk_enabled,fixed_lot,atr_stop_multiplier,atr_take_profit_multiplier,model_risk_max_pct,reentry_cooldown_bars,same_direction_reentry_cooldown_bars,entry_transition_only,entry_transition_rearm_min_confidence_delta,short_threshold,long_threshold,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,max_hold_bars,status,trades_per_day,profit_factor,net_profit,trade_count,max_drawdown_amount,max_drawdown_percent,expectancy,cost_stressed_expectancy,same_move_reentry_ratio,mfe_capture_ratio,cooldown12_trades_per_day,density_gain_survives_12bar_cooldown,risk_floor_applied_count,max_model_risk_pct,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,report_path,notes,avg_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,max_executed_lot,avg_actual_risk_pct_after_floor,risk_bucket,telemetry_sha256
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5200000000,0.5200000000,False,False,True,4,completed,5.7759562842,1.1000000000,735.2200000000,1057,496.3900000000,37.7500000000,0.7000000000,,,,,,0,0.0300000000,0.0299997523,0.0980648111,3634.3977404655,7268.7954809311,10903.1932213966,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t52_ta_val.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.52.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,dddb7728c89a25e56a20215ebc8e299c00043028c55dc2118eca0dbc93d19542
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5200000000,0.5200000000,False,False,True,4,completed,5.7759562842,1.1000000000,735.2200000000,1057,496.3900000000,37.7500000000,0.7000000000,0.3955723746,0.2346263009,0.6380948623,4.4207650273,False,0,0.0300000000,0.0299997523,0.0980648111,3634.3977404655,7268.7954809311,10903.1932213966,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t52_rt_val.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.52.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,dddb7728c89a25e56a20215ebc8e299c00043028c55dc2118eca0dbc93d19542
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,dddb7728c89a25e56a20215ebc8e299c00043028c55dc2118eca0dbc93d19542
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5200000000,0.5200000000,False,False,True,4,completed,4.1589743590,1.0500000000,162.6200000000,811,315.0700000000,47.6600000000,0.2000000000,,,,,,0,0.0300000000,0.0299998949,0.0505050105,3903.3644985684,7806.7289971368,11710.0934957052,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t52_ta_oos.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.52.,0.0063014241,0.0063014241,0.0300000000,0.0515681423,0.9361180328,0.9300000000,0.0061380670,mid,67f3a5bf43e967264307cbdeb5411a928a2b72f6a9f8eebb96121e5cd9e11804
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,oos,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5200000000,0.5200000000,False,False,True,4,completed,4.1589743590,1.0500000000,162.6200000000,811,315.0700000000,47.6600000000,0.2000000000,-0.0994821208,0.2231812577,0.6307245562,3.2307692308,False,0,0.0300000000,0.0299998949,0.0505050105,3903.3644985684,7806.7289971368,11710.0934957052,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t52_rt_oos.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.52.,0.0063014241,0.0063014241,0.0300000000,0.0515681423,0.9361180328,0.9300000000,0.0061380670,mid,67f3a5bf43e967264307cbdeb5411a928a2b72f6a9f8eebb96121e5cd9e11804
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t52,run50BQ_v62_transition_h4_sl20_tp30_sd12_t52_risk3pct_atr,oos,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0063014241,0.0063014241,0.0300000000,0.0515681423,0.9361180328,0.9300000000,0.0061380670,mid,67f3a5bf43e967264307cbdeb5411a928a2b72f6a9f8eebb96121e5cd9e11804
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t55,run50BQ_v62_transition_h4_sl20_tp30_sd12_t55_risk3pct_atr,validation_is,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5500000000,0.5500000000,False,False,True,4,completed,5.7759562842,1.1000000000,735.2200000000,1057,496.3900000000,37.7500000000,0.7000000000,,,,,,0,0.0300000000,0.0299997523,0.0980648111,3634.3977404655,7268.7954809311,10903.1932213966,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t55_ta_val.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.55.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,0b6b9edc7aa66540804d3be362ccf6650f8a5582d25506d9e80b80d045097033
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t55,run50BQ_v62_transition_h4_sl20_tp30_sd12_t55_risk3pct_atr,validation_is,actual_routed_total,routed_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5500000000,0.5500000000,False,False,True,4,completed,5.7759562842,1.1000000000,735.2200000000,1057,496.3900000000,37.7500000000,0.7000000000,0.3955723746,0.2346263009,0.6380948623,4.4207650273,False,0,0.0300000000,0.0299997523,0.0980648111,3634.3977404655,7268.7954809311,10903.1932213966,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t55_rt_val.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.55.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,0b6b9edc7aa66540804d3be362ccf6650f8a5582d25506d9e80b80d045097033
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t55,run50BQ_v62_transition_h4_sl20_tp30_sd12_t55_risk3pct_atr,validation_is,tier_b_fallback_only,tier_b_disabled,disabled_due_run50BR_fallback_only_damage,,,,,,,,,,,,,,,,,disabled,,,,,,,,,,,,,,,,,,,,,Tier B fallback-only remained disabled because run50BR fallback-only validation/OOS net was -94.14 / -254.32.,0.0062566030,0.0062566030,0.0300000000,0.0991189597,2.0133955449,2.0100000000,0.0061492642,mid,0b6b9edc7aa66540804d3be362ccf6650f8a5582d25506d9e80b80d045097033
run59J_stage59o_bounded_followup_from_stage59n_v1,s59o_v62_sl20_tp30_sd12_t55,run50BQ_v62_transition_h4_sl20_tp30_sd12_t55_risk3pct_atr,oos,tier_a_only,tier_only_total,disabled_due_run50BR_fallback_only_damage,True,True,0.2500000000,2.0000000000,3.0000000000,0.0300000000,0,12,True,0.0000000000,0.5500000000,0.5500000000,False,False,True,4,completed,4.1589743590,1.0500000000,162.6200000000,811,315.0700000000,47.6600000000,0.2000000000,,,,,,0,0.0300000000,0.0299998949,0.0505050105,3903.3644985684,7806.7289971368,11710.0934957052,stages/59O_adapter_repair__bounded_followup_from_stage59n/02_runs/run59J/mt5/reports/Project_Obsidian_Prime_v2_run59J_stage59o_bounded_followup_from_stage59n_v1_s59o_v62_sl20_tp30_sd12_t55_ta_oos.htm,Stage59O bounded follow-up: keep Stage59N bracket/cooldown and raise both confidence thresholds to 0.55.,0.0063014241,0.0063014241,0.0300000000,0.0515681423,0.9361180328,0.9300000000,0.0061380670,mid,12f6264c609c3fda061cd6ca5f703702204b157cf71aa167f8752cd4b1ea36e8
