ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h2_ta_val.htm,net_profit=-138.31;pf=0.96;expectancy=-0.12;trades=1170;win_rate=47.69,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=407.55;recovery=-0.34;fill=2191;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_routed_s59p_v62_sl20_tp30_sd12_h2_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h2_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h2_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h2_rt_val.htm,net_profit=-138.31;pf=0.96;expectancy=-0.12;trades=1170;win_rate=47.69,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=407.55;recovery=-0.34;fill=2191;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_oos,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_oos,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h2_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h2_ta_oos.htm,net_profit=-1;pf=1;expectancy=0;trades=900;win_rate=49.67,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=265.88;recovery=0;fill=1691;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_routed_s59p_v62_sl20_tp30_sd12_h2_oos,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h2_oos,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h2_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h2_rt_oos.htm,net_profit=-1;pf=1;expectancy=0;trades=900;win_rate=49.67,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=265.88;recovery=0;fill=1691;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h3_ta_val.htm,net_profit=131.06;pf=1.02;expectancy=0.12;trades=1129;win_rate=47.65,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=606.23;recovery=0.22;fill=2002;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_routed_s59p_v62_sl20_tp30_sd12_h3_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h3_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h3_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h3_rt_val.htm,net_profit=131.06;pf=1.02;expectancy=0.12;trades=1129;win_rate=47.65,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=606.23;recovery=0.22;fill=2002;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_oos,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_oos,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h3_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h3_ta_oos.htm,net_profit=298.53;pf=1.08;expectancy=0.34;trades=870;win_rate=50.23,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=281.47;recovery=1.06;fill=1561;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_routed_s59p_v62_sl20_tp30_sd12_h3_oos,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h3_oos,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h3_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h3_rt_oos.htm,net_profit=298.53;pf=1.08;expectancy=0.34;trades=870;win_rate=50.23,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=281.47;recovery=1.06;fill=1561;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h5_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h5_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_tier_a_only_s59p_v62_sl20_tp30_sd12_h5_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h5_ta_val.htm,net_profit=514.91;pf=1.11;expectancy=0.51;trades=1001;win_rate=49.25,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=206.08;recovery=2.5;fill=1729;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59K_stage59p_bounded_followup_from_stage59o_v1__mt5_routed_s59p_v62_sl20_tp30_sd12_h5_validation_is,59P_adapter_repair__bounded_followup_from_stage59o,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h5_validation_is,run59K_stage59p_bounded_followup_from_stage59o_v1,mt5_routed_s59p_v62_sl20_tp30_sd12_h5_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59P_adapter_repair__bounded_followup_from_stage59o/02_runs/run59K/mt5/reports/Project_Obsidian_Prime_v2_run59K_stage59p_bounded_followup_from_stage59o_v1_s59p_v62_sl20_tp30_sd12_h5_rt_val.htm,net_profit=514.91;pf=1.11;expectancy=0.51;trades=1001;win_rate=49.25,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=206.08;recovery=2.5;fill=1729;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
