attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_ta_val,s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A,tier_a_only,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_ta_val_telemetry.csv,completed,9844,0,0.0063663145,0.0300000000,0.0063663145,0.0300000000,0.0649284361,1.0186345935,0.0638581877,1.0100000000,0.0299995435,0.0062243352,3634.3977404655,7268.7954809311,10903.1932213966,mid,8eba672a84e89fabdd80894516442f58e3346180cd3c8ce471199821386a4c5e
s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_rt_val,s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A+B,actual_routed_total,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_rt_val_telemetry.csv,completed,9844,0,0.0063663145,0.0300000000,0.0063663145,0.0300000000,0.0649284361,1.0186345935,0.0638581877,1.0100000000,0.0299995435,0.0062243352,3634.3977404655,7268.7954809311,10903.1932213966,mid,8eba672a84e89fabdd80894516442f58e3346180cd3c8ce471199821386a4c5e
s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_ta_oos,s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002,oos,Tier A,tier_a_only,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_ta_oos_telemetry.csv,completed,7584,0,0.0063963608,0.0300000000,0.0063963608,0.0300000000,0.0376084171,0.8067680668,0.0365216245,0.8000000000,0.0300000000,0.0061596392,3903.3644985684,7806.7289971368,11710.0934957052,mid,0b3407789629989621f89a40d0c655c1470a79509a322cd2be41ae7b574ca0c5
s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_rt_oos,s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002,oos,Tier A+B,actual_routed_total,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flatclose_sl20_tp30_sd12_h5_rearm002_rt_oos_telemetry.csv,completed,7584,0,0.0063963608,0.0300000000,0.0063963608,0.0300000000,0.0376084171,0.8067680668,0.0365216245,0.8000000000,0.0300000000,0.0061596392,3903.3644985684,7806.7289971368,11710.0934957052,mid,0b3407789629989621f89a40d0c655c1470a79509a322cd2be41ae7b574ca0c5
s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_ta_val,s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A,tier_a_only,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_ta_val_telemetry.csv,completed,9844,0,0.0062718407,0.0300000000,0.0062718407,0.0300000000,0.0323085495,0.5425593931,0.0312748883,0.5400000000,0.0299992616,0.0060055769,3634.3977404655,7268.7954809311,10903.1932213966,mid,a0715b095e85496c0e3a265111b999f0a6956a2496e3ad6f20efccd30b68cfa7
s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_rt_val,s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A+B,actual_routed_total,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_rt_val_telemetry.csv,completed,9844,0,0.0062718407,0.0300000000,0.0062718407,0.0300000000,0.0323085495,0.5425593931,0.0312748883,0.5400000000,0.0299992616,0.0060055769,3634.3977404655,7268.7954809311,10903.1932213966,mid,a0715b095e85496c0e3a265111b999f0a6956a2496e3ad6f20efccd30b68cfa7
s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_ta_oos,s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002,oos,Tier A,tier_a_only,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_ta_oos_telemetry.csv,completed,7584,0,0.0062816456,0.0300000000,0.0062816456,0.0300000000,0.0644358838,1.3881825843,0.0633926688,1.3800000000,0.0299993484,0.0061365833,3903.3644985684,7806.7289971368,11710.0934957052,mid,a3f40730c4afdc0483a2bb8435f81270c5e378af8a60e7724631449ccbb0c0a2
s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_rt_oos,s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002,oos,Tier A+B,actual_routed_total,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_reverseopp_sl20_tp30_sd12_h5_rearm002_rt_oos_telemetry.csv,completed,7584,0,0.0062816456,0.0300000000,0.0062816456,0.0300000000,0.0644358838,1.3881825843,0.0633926688,1.3800000000,0.0299993484,0.0061365833,3903.3644985684,7806.7289971368,11710.0934957052,mid,a3f40730c4afdc0483a2bb8435f81270c5e378af8a60e7724631449ccbb0c0a2
s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002_ta_val,s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A,tier_a_only,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002_ta_val_telemetry.csv,completed,9844,0,0.0062779358,0.0300000000,0.0062779358,0.0300000000,0.0533673847,0.7874914814,0.0523242584,0.7800000000,0.0299997840,0.0061213160,3634.3977404655,7268.7954809311,10903.1932213966,mid,472c933f7dc7fd19f4b3f58bb3f47b30f9c2878f5f164189dde5ec73462b9bd2
s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002_rt_val,s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002,validation_is,Tier A+B,actual_routed_total,True,True,2.0000000000,3.0000000000,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/Project_Obsidian_Prime_v2/s59t/run59O/s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002/telemetry/s59t_exit_flat_reverse_sl20_tp30_sd12_h5_rearm002_rt_val_telemetry.csv,completed,9844,0,0.0062779358,0.0300000000,0.0062779358,0.0300000000,0.0533673847,0.7874914814,0.0523242584,0.7800000000,0.0299997840,0.0061213160,3634.3977404655,7268.7954809311,10903.1932213966,mid,472c933f7dc7fd19f4b3f58bb3f47b30f9c2878f5f164189dde5ec73462b9bd2
