ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_ta_val.htm,net_profit=-29.66;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.31,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=165.02;recovery=-0.18;fill=2421;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_rt_val.htm,net_profit=-29.66;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.31,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=165.02;recovery=-0.18;fill=2421;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_ta_oos.htm,net_profit=145.11;pf=1.07;expectancy=0.14;trades=1020;win_rate=50.69,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=167.91;recovery=0.86;fill=1840;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold2_sl20_tp30_sd12_rearm002_rt_oos.htm,net_profit=145.11;pf=1.07;expectancy=0.14;trades=1020;win_rate=50.69,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=167.91;recovery=0.86;fill=1840;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_ta_val.htm,net_profit=-26.1;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.39,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=161.46;recovery=-0.16;fill=2420;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_rt_val.htm,net_profit=-26.1;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.39,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=161.46;recovery=-0.16;fill=2420;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_ta_oos.htm,net_profit=145.84;pf=1.07;expectancy=0.14;trades=1020;win_rate=50.69,labelable=NA;feature_ready=7584;model_ok=7584;no_tier_labelable=NA;max_dd=165.74;recovery=0.88;fill=1839;reject=0;skip=29753;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_oos,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold3_sl20_tp30_sd12_rearm002_rt_oos.htm,net_profit=145.84;pf=1.07;expectancy=0.14;trades=1020;win_rate=50.69,a_used=7584;b_fallback=0;no_tier_labelable=NA;max_dd=165.74;recovery=0.88;fill=1839;reject=0;skip=29753,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_tier_a_only_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_tier_a_only_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,Tier A,trading_risk_execution,runtime_probe,completed,inconclusive_tier_only_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_ta_val.htm,net_profit=-26.1;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.39,labelable=NA;feature_ready=9844;model_ok=9844;no_tier_labelable=NA;max_dd=161.46;recovery=-0.16;fill=2420;reject=0;skip=42964;subtypes=NA,completed,Tier A only standalone MT5 tester run.
run59P_stage59u_bounded_followup_from_stage59t_v1__mt5_routed_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,59U_adapter_repair__bounded_followup_from_stage59t,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,run59P_stage59u_bounded_followup_from_stage59t_v1,mt5_routed_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_validation_is,Tier A+B,trading_risk_execution,runtime_probe,completed,inconclusive_routed_total_runtime_probe,stages/59U_adapter_repair__bounded_followup_from_stage59t/02_runs/run59P/mt5/reports/Project_Obsidian_Prime_v2_run59P_stage59u_bounded_followup_from_stage59t_v1_s59u_flatrev_hold4_sl20_tp30_sd12_rearm002_rt_val.htm,net_profit=-26.1;pf=0.99;expectancy=-0.02;trades=1333;win_rate=48.39,a_used=9844;b_fallback=0;no_tier_labelable=NA;max_dd=161.46;recovery=-0.16;fill=2420;reject=0;skip=42964,completed,Actual routed total from one MT5 tester account path; not a synthetic sum.
