attempt_name,adapter_id,split,tier,view,atr_enabled,model_risk_enabled,atr_stop_multiplier,atr_take_profit_multiplier,telemetry_path,status,cycle_rows,risk_floor_applied_count,avg_model_risk_pct,max_model_risk_pct,avg_clipped_risk_pct,max_clipped_risk_pct,avg_computed_lot,max_computed_lot,avg_executed_lot,max_executed_lot,max_actual_risk_pct_after_floor,avg_actual_risk_pct_after_floor,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,telemetry_sha256
s87_v41_h3_risk475_gate08_sl225_tp38_cd10_ta_val,s87_v41_h3_risk475_gate08_sl225_tp38_cd10,validation_is,Tier A,tier_a_only,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl225_tp38_cd10_ta_val_telemetry.csv,completed,9844,0,0.001022958147,0.0475,0.001022958147,0.0475,0.01018955202,1.618010278,0.01008228362,1.61,0.0474997187,0.001008117493,3634.39774,8177.394916,13810.71141,high_capped,e7fa403cf573267ecade074f7fbec2da4ccaa51c20cb776b4edd5bed3a7b40cc
s87_v41_h3_risk475_gate08_sl225_tp38_cd10_rt_val,s87_v41_h3_risk475_gate08_sl225_tp38_cd10,validation_is,Tier A+B,actual_routed_total,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl225_tp38_cd10_rt_val_telemetry.csv,completed,9844,0,0.001022958147,0.0475,0.001022958147,0.0475,0.01018955202,1.618010278,0.01008228362,1.61,0.0474997187,0.001008117493,3634.39774,8177.394916,13810.71141,high_capped,e7fa403cf573267ecade074f7fbec2da4ccaa51c20cb776b4edd5bed3a7b40cc
s87_v41_h3_risk475_gate08_sl225_tp38_cd10_ta_oos,s87_v41_h3_risk475_gate08_sl225_tp38_cd10,oos,Tier A,tier_a_only,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl225_tp38_cd10_ta_oos_telemetry.csv,completed,7584,0,0.001058478376,0.0475,0.001058478376,0.0475,0.007276232365,0.7819459596,0.007163765823,0.78,0.0474666803,0.001038424867,3903.364499,8782.570122,14832.78509,high_capped,e4ca3e14f4bd52af189bce5ad588b5399b9132daae86fc4a5c5e1a15653e6d96
s87_v41_h3_risk475_gate08_sl225_tp38_cd10_rt_oos,s87_v41_h3_risk475_gate08_sl225_tp38_cd10,oos,Tier A+B,actual_routed_total,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl225_tp38_cd10_rt_oos_telemetry.csv,completed,7584,0,0.001058478376,0.0475,0.001058478376,0.0475,0.007276232365,0.7819459596,0.007163765823,0.78,0.0474666803,0.001038424867,3903.364499,8782.570122,14832.78509,high_capped,e4ca3e14f4bd52af189bce5ad588b5399b9132daae86fc4a5c5e1a15653e6d96
s87_v41_h3_risk45_gate08_sl225_tp38_cd10_ta_val,s87_v41_h3_risk45_gate08_sl225_tp38_cd10,validation_is,Tier A,tier_a_only,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk45_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk45_gate08_sl225_tp38_cd10_ta_val_telemetry.csv,completed,9844,0,0.0009691182446,0.045,0.0009691182446,0.045,0.009351191666,1.472418082,0.009245225518,1.47,0.0449837969,0.0009543897589,3634.39774,8177.394916,13810.71141,high_capped,59e154f92fb94ec7fea5461b16b1e7165b1bab70150ca174b1fdef118f433f8c
s87_v41_h3_risk45_gate08_sl225_tp38_cd10_rt_val,s87_v41_h3_risk45_gate08_sl225_tp38_cd10,validation_is,Tier A+B,actual_routed_total,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk45_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk45_gate08_sl225_tp38_cd10_rt_val_telemetry.csv,completed,9844,0,0.0009691182446,0.045,0.0009691182446,0.045,0.009351191666,1.472418082,0.009245225518,1.47,0.0449837969,0.0009543897589,3634.39774,8177.394916,13810.71141,high_capped,59e154f92fb94ec7fea5461b16b1e7165b1bab70150ca174b1fdef118f433f8c
s87_v41_h3_risk45_gate08_sl225_tp38_cd10_ta_oos,s87_v41_h3_risk45_gate08_sl225_tp38_cd10,oos,Tier A,tier_a_only,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk45_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk45_gate08_sl225_tp38_cd10_ta_oos_telemetry.csv,completed,7584,0,0.001002768987,0.045,0.001002768987,0.045,0.006795752699,0.7228454545,0.006683808017,0.72,0.0449963245,0.0009822691513,3903.364499,8782.570122,14832.78509,high_capped,de5949efa5c1749edf4d11994088f388c3c6cc26cd9592e939a31f301494192f
s87_v41_h3_risk45_gate08_sl225_tp38_cd10_rt_oos,s87_v41_h3_risk45_gate08_sl225_tp38_cd10,oos,Tier A+B,actual_routed_total,True,True,2.25,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk45_gate08_sl225_tp38_cd10/telemetry/s87_v41_h3_risk45_gate08_sl225_tp38_cd10_rt_oos_telemetry.csv,completed,7584,0,0.001002768987,0.045,0.001002768987,0.045,0.006795752699,0.7228454545,0.006683808017,0.72,0.0449963245,0.0009822691513,3903.364499,8782.570122,14832.78509,high_capped,de5949efa5c1749edf4d11994088f388c3c6cc26cd9592e939a31f301494192f
s87_v41_h3_risk475_gate08_sl215_tp38_cd10_ta_val,s87_v41_h3_risk475_gate08_sl215_tp38_cd10,validation_is,Tier A,tier_a_only,True,True,2.15,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl215_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl215_tp38_cd10_ta_val_telemetry.csv,completed,9844,0,0.001022958147,0.0475,0.001022958147,0.0475,0.01116346426,1.808808405,0.01106359204,1.8,0.0474978341,0.001010309516,3634.39774,7813.955142,13810.71141,high_capped,918f63ae29b2c84c70ec6ea7f1783495ef8187fcd67f7490e218518b4a584f82
s87_v41_h3_risk475_gate08_sl215_tp38_cd10_rt_val,s87_v41_h3_risk475_gate08_sl215_tp38_cd10,validation_is,Tier A+B,actual_routed_total,True,True,2.15,3.8,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/Common/Files/OPV2/s87a/run87A/s87_v41_h3_risk475_gate08_sl215_tp38_cd10/telemetry/s87_v41_h3_risk475_gate08_sl215_tp38_cd10_rt_val_telemetry.csv,completed,9844,0,0.001022958147,0.0475,0.001022958147,0.0475,0.01116346426,1.808808405,0.01106359204,1.8,0.0474978341,0.001010309516,3634.39774,7813.955142,13810.71141,high_capped,918f63ae29b2c84c70ec6ea7f1783495ef8187fcd67f7490e218518b4a584f82
