adapter_id,split,chron_segment,direction,session_slice,trend_regime,adx_bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,mfe_mean,mae_mean,mfe_capture_ratio,max_closed_trade_drawdown,stage99_read
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,early,downtrend,adx_20_25,6,-4.16,0.829578,-0.693333,0.333333,6.815050,9.116600,-0.101736,16.60,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,early,downtrend,adx_gt25,15,-2.76,0.911595,-0.184000,0.400000,5.246773,8.683733,-0.035069,21.21,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,early,range_or_weak_trend,adx_lt20,7,-43.22,0.270425,-6.174286,0.285714,5.380043,15.946514,-1.147628,54.72,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,late,downtrend,adx_20_25,1,4.86,inf,4.860000,1.000000,9.022500,7.515000,0.538653,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,late,downtrend,adx_gt25,2,0.76,inf,0.380000,1.000000,3.364000,4.648500,0.112961,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,late,range_or_weak_trend,adx_lt20,1,9.86,inf,9.860000,1.000000,9.989200,4.505800,0.987066,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,mid,downtrend,adx_20_25,1,12.43,inf,12.430000,1.000000,14.792400,1.047600,0.840296,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,mid,downtrend,adx_gt25,3,-5.57,0.707458,-1.856667,0.666667,7.155000,12.200000,-0.259492,19.04,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,buy,mid,range_or_weak_trend,adx_lt20,3,-0.40,0.959799,-0.133333,0.666667,5.783333,15.611933,-0.023055,9.95,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,sell,early,downtrend,adx_20_25,1,-24.22,0.000000,-24.220000,0.000000,6.352500,36.867600,-3.812672,24.22,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,sell,early,downtrend,adx_gt25,5,65.88,3.753030,13.176000,0.800000,22.144540,8.675160,0.595000,23.93,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,sell,early,range_or_weak_trend,adx_lt20,2,-4.26,0.816379,-2.130000,0.500000,14.452500,27.506850,-0.147379,23.20,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,sell,late,downtrend,adx_gt25,4,1.08,1.083786,0.270000,0.500000,5.067075,7.361375,0.053285,12.89,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,early,sell,mid,downtrend,adx_gt25,3,8.07,inf,2.690000,1.000000,6.071667,5.916100,0.443041,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,early,downtrend,adx_20_25,5,-12.05,0.728970,-2.410000,0.400000,19.229200,13.856100,-0.125330,44.46,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,early,downtrend,adx_gt25,19,46.45,1.569939,2.444737,0.631579,14.151605,13.508921,0.172753,57.90,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,early,range_or_weak_trend,adx_lt20,4,-8.19,0.558014,-2.047500,0.500000,7.848000,14.325625,-0.260894,18.53,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,late,downtrend,adx_20_25,1,-8.03,0.000000,-8.030000,0.000000,11.655000,10.732500,-0.688975,8.03,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,late,downtrend,adx_gt25,3,-46.82,0.000000,-15.606667,0.000000,9.909000,18.593500,-1.574999,46.82,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,late,range_or_weak_trend,adx_lt20,1,28.08,inf,28.080000,1.000000,35.200000,4.800000,0.797727,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,downtrend,adx_20_25,2,6.87,1.656788,3.435000,0.500000,21.040500,6.984500,0.163257,10.46,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,downtrend,adx_gt25,9,81.04,4.002594,9.004444,0.555556,18.303778,8.313444,0.491945,16.84,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,buy,mid,range_or_weak_trend,adx_lt20,5,60.36,inf,12.072000,1.000000,17.109400,3.756600,0.705577,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,downtrend,adx_20_25,1,-38.19,0.000000,-38.190000,0.000000,30.187500,51.577500,-1.265093,38.19,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,downtrend,adx_gt25,2,-36.07,0.080551,-18.035000,0.500000,7.230000,26.112500,-2.494467,39.23,negative_context_slice
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,late,sell,early,range_or_weak_trend,adx_lt20,1,6.64,inf,6.640000,1.000000,37.722500,17.972500,0.176022,0.00,context_slice_measurement
s97_v41_h2_risk475_gate08_sl2075_tp40_cd10,oos,mid,buy,early,downtrend,adx_20_25,5,-36.27,0.360205,-7.254000,0.400000,7.001200,17.972900,-1.036108,44.36,negative_context_slice
