ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count
frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1__stage_open,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1,frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1__stage_open,frontier16D_runtime_probe_supplement_v1,stage_open(단계 개방),not_applicable_stage_open(단계 개방에는 해당 없음),"planning_only_no_trading_kpi(계획 전용, 거래 KPI 없음)",stage_open(단계 개방),opened_frontier17_loss_cluster_firewall_profit_persistence_onnx_scout_no_authority,stage_opened_after_grok_review_with_definition_locks_and_runtime_probe_obligation_no_authority,stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1_report.md,grok_classification=accepted(수용);profiles=3;guards=16,no_model_no_wfo_no_mt5_no_authority(모델/WFO/MT5/권위 없음),"grok_stage_open_review_completed_runtime_probe_required_before_closeout(그록 단계 개방 검토 완료, 마감 전 런타임 탐침 필요)",next=frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1;definition_locks;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can loss-cluster firewall plus continuation trigger improve PF/DD/smoothness?(손실 군집 방화벽과 지속 트리거가 수익 팩터/손실폭/매끄러움을 개선할 수 있는가?),,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_open(단계 개방),,,,,,,,,,,,,,,
frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_a_loss_cluster_firewall_proxy,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_a_loss_cluster_firewall_proxy,frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"loss_cluster_firewall_proxy_not_runtime(손실 군집 방화벽 프록시, 런타임 아님)",loss_cluster_firewall_proxy_scout(손실 군집 방화벽 프록시 탐색),loss_cluster_firewall_preserved_clue_no_authority,preserved_clue_candidate(보존 단서 후보),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1_report.md,best=f17b_firewall_h10_ddq75_contq65__lr_plain__firewall_continuation;strict=False;seed=False;preserved=True;val_pf=1.30338;val_density=3.97268;val_dd=13.4384;oos_pf=1.13674;oos_density=5.0916;oos_dd=12.7647;worst_sub_dd=12.7647,"train_only_firewall_continuation_no_wfo_no_mt5_no_authority(학습 전용 방화벽 지속, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5_yet_pre_expensive_grok_next(주장 범위 밖, MT5 아직 없음, 비싼 검증 전 그록 다음)",strict=0;seed=0;preserved=3;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_b_missing_required,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_b_missing_required,frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),loss_cluster_firewall_proxy_scout(손실 군집 방화벽 프록시 탐색),loss_cluster_firewall_preserved_clue_no_authority,preserved_clue_candidate(보존 단서 후보),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)","train_only_firewall_continuation_no_wfo_no_mt5_no_authority(학습 전용 방화벽 지속, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5_yet_pre_expensive_grok_next(주장 범위 밖, MT5 아직 없음, 비싼 검증 전 그록 다음)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_ab_combined_missing_required,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1__tier_ab_combined_missing_required,frontier17A_stage_open_loss_cluster_firewall_profit_persistence_onnx_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),loss_cluster_firewall_proxy_scout(손실 군집 방화벽 프록시 탐색),loss_cluster_firewall_preserved_clue_no_authority,preserved_clue_candidate(보존 단서 후보),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)","train_only_firewall_continuation_no_wfo_no_mt5_no_authority(학습 전용 방화벽 지속, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5_yet_pre_expensive_grok_next(주장 범위 밖, MT5 아직 없음, 비싼 검증 전 그록 다음)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_a_validation_is_runtime_probe,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17C_loss_cluster_firewall_runtime_probe_v1,frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_a_validation_is_runtime_probe,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,Tier A separate validation_is(티어 A 분리 validation_is),Tier A(티어 A),mt5_runtime_probe_observation(MT5 런타임 탐침 관찰),runtime_probe(런타임 탐침),runtime_probe_observation_completed_signal_matched_no_authority,runtime_probe_observation(런타임 탐침 관찰),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17C_loss_cluster_firewall_runtime_probe_v1_report.md,validation_is:status=completed/completed;pf=1.13;dd=35.45;trades=317;signal_diff=0,no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),signal_diff=0;blocker=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_a_oos_runtime_probe,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17C_loss_cluster_firewall_runtime_probe_v1,frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_a_oos_runtime_probe,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,Tier A separate oos(티어 A 분리 oos),Tier A(티어 A),mt5_runtime_probe_observation(MT5 런타임 탐침 관찰),runtime_probe(런타임 탐침),runtime_probe_observation_completed_signal_matched_no_authority,runtime_probe_observation(런타임 탐침 관찰),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17C_loss_cluster_firewall_runtime_probe_v1_report.md,oos:status=completed/completed;pf=0.92;dd=47.5;trades=254;signal_diff=0,no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),signal_diff=0;blocker=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_b_missing_required,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17C_loss_cluster_firewall_runtime_probe_v1,frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_b_missing_required,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),runtime_probe(런타임 탐침),runtime_probe_observation_completed_signal_matched_no_authority,runtime_probe_observation(런타임 탐침 관찰),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17C_loss_cluster_firewall_runtime_probe_v1_report.md,"missing_required_no_tier_b_runtime_probe(필수 누락, 티어 B 런타임 탐침 없음)",no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),Tier B source not materialized for F17C runtime probe(전선17C 런타임 탐침에서 티어 B 원천 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_ab_combined_missing_required,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17C_loss_cluster_firewall_runtime_probe_v1,frontier17C_loss_cluster_firewall_runtime_probe_v1__tier_ab_combined_missing_required,frontier17B_loss_cluster_firewall_profit_persistence_proxy_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),runtime_probe(런타임 탐침),runtime_probe_observation_completed_signal_matched_no_authority,runtime_probe_observation(런타임 탐침 관찰),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17C_loss_cluster_firewall_runtime_probe_v1_report.md,"missing_required_no_combined_runtime_claim(필수 누락, 합산 런타임 주장 없음)",no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),combined record blocked by missing Tier B(티어 B 누락으로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17D_loss_cluster_firewall_repair_or_closeout_decision_v1__negative_memory_closeout,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17D_loss_cluster_firewall_repair_or_closeout_decision_v1,frontier17D_loss_cluster_firewall_repair_or_closeout_decision_v1__negative_memory_closeout,frontier17C_loss_cluster_firewall_runtime_probe_v1,Frontier17 closeout(전선17 마감),Tier A runtime plus Tier B missing_required(티어 A 런타임 및 티어 B 필수 누락),negative_memory_closeout(부정 기억 마감),stage_closeout(단계 마감),closed_negative_memory_loss_cluster_firewall_runtime_economics_failed_no_authority,negative_memory(부정 기억),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/frontier17D_loss_cluster_firewall_repair_or_closeout_decision_v1_report.md,"validation_is: PF=1.13, DD=35.45%, trades=317, signal_diff=0 | oos: PF=0.92, DD=47.5%, trades=254, signal_diff=0",no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_completed(MT5 런타임 탐침 완료),F17C signal parity matched but MT5 economics/DD failed(F17C 신호 동등성은 일치했지만 MT5 경제성/손실폭 실패),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier17Z_runtime_probe_backfill_status_v1__status,stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout,frontier17Z_runtime_probe_backfill_status_v1,frontier17Z_runtime_probe_backfill_status_v1__status,frontier17D_loss_cluster_firewall_repair_or_closeout_decision_v1,runtime_probe_backfill_status(런타임 탐침 소급 상태),missing_required_or_verify_only(필수 누락 또는 확인 전용),status_record(상태 기록),runtime_probe_backfill(런타임 탐침 소급),completed_existing_verify_only,completed_existing_verify_only(기존 완료 확인 전용),stages/stage_frontier_17__loss_cluster_firewall_profit_persistence_onnx_scout/03_reviews/runtime_probe_backfill_status.md,existing MT5 runtime probe reports found,no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_backfill_recorded(MT5 런타임 탐침 소급 기록),"{""report_count"": 2}",,,,,,,,,runtime_probe_backfill_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15T20:44:30Z,,,not_claimed,not_claimed,,,not_claimed,runtime_backfill(런타임 소급),mt5_runtime_probe_backfill(MT5 런타임 탐침 소급),,,,,,,,,,,,,,
