profile_id,profile_role,split,granularity,period,tier_scope,record_view,max_hold_bars,atr_stop_multiplier,atr_take_profit_multiplier,cooldown_bars,early_adverse_exit_enabled,trade_count,days_in_scope,trades_per_day,long_trade_count,short_trade_count,net_profit,profit_factor,expectancy,win_rate,max_drawdown_percent,max_monthly_drawdown_percent,dd_risk_percent,underwater_ratio,max_loss_streak,equity_trend_r2,sparse_flag,pf999_sparse_flag,density_axis_distance,pf_axis_distance,dd_axis_distance,smoothness_axis_distance,aspiration_distance_score,proxy_cost_log_return
f21b_sim_baseline_hold12_no_stop,repair_reference_baseline(수리 참조 비교 행),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),12,0.0,0.0,0,False,904,425,2.1270588235294117,904,0,0.10474798912849016,1.0635775033728014,0.00011587166938992275,0.5276548672566371,12.74606914832116,8.903686915767839,12.74606914832116,0.9579646017699115,7,0.17743960955729401,False,False,0.5745882352941176,0.4682112483135993,0.274606914832116,0.8712362464956779,2.188642644935511,5e-05
f21b_sim_baseline_hold12_no_stop,repair_reference_baseline(수리 참조 비교 행),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),12,0.0,0.0,0,False,286,133,2.1503759398496243,286,0,0.1444644598238906,1.2998867529137776,0.0005051204888947224,0.5174825174825175,5.851789593900358,5.851789593900358,5.851789593900358,0.9020979020979021,6,0.8208076528140549,False,False,0.5699248120300752,0.3500566235431112,0.0,0.5465806121777312,1.4665620477509176,5e-05
f21b_sim_baseline_hold12_no_stop,repair_reference_baseline(수리 참조 비교 행),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),12,0.0,0.0,0,False,219,92,2.380434782608696,219,0,0.023661466126822392,1.0638267905340708,0.00010804322432338992,0.5388127853881278,8.94133672476245,7.590296595738433,8.94133672476245,0.8584474885844748,6,0.02413185610748213,False,False,0.5239130434782608,0.4680866047329646,0.0,0.8854420346146468,1.8774416828258722,5e-05
f21c_hold1_atr0p6_tp1p0_cd0_early,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.6,1.0,0,True,2604,427,6.098360655737705,2604,0,-0.05126725536789466,0.953649534240954,-1.968788608598105e-05,0.4619815668202765,7.371194439282814,3.0293066892082443,7.371194439282814,0.9938556067588326,12,0.6072888200406844,False,False,0.0,0.523175232879523,0.0,1.723955054023167,2.24713028690269,5e-05
f21c_hold1_atr0p6_tp1p0_cd0_early,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.6,1.0,0,True,921,133,6.924812030075188,921,0,-0.03333861009722556,0.9233566506597891,-3.619827372120039e-05,0.46254071661237783,5.549844372583667,4.473928429329421,5.549844372583667,0.98914223669924,9,0.647713033343109,False,False,0.0,0.5383216746701054,0.0,1.693643141510259,2.2319648161803647,5e-05
f21c_hold1_atr0p6_tp1p0_cd0_early,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.6,1.0,0,True,752,92,8.173913043478262,752,0,0.0017364550602424287,1.0062277261384311,2.3091157715989745e-06,0.4747340425531915,2.8686102840049355,1.6719083667702028,2.8686102840049355,0.9680851063829787,14,0.20389989263155556,False,False,0.0,0.49688613693078443,0.0,0.8938833461881405,1.390769483118925,5e-05
f21c_hold1_atr0p8_tp1p2_cd0,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.8,1.2,0,False,2604,427,6.098360655737705,2604,0,-0.04814825341220227,0.958745931749546,-1.849011267749703e-05,0.47619047619047616,7.641391623220695,3.3645809845340047,7.641391623220695,0.9953917050691244,12,0.5135639041405762,False,False,0.0,0.520627034125227,0.0,1.7668225104178468,2.287449544543074,5e-05
f21c_hold1_atr0p8_tp1p2_cd0,density_repair(빈도 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.8,1.2,0,False,921,133,6.924812030075188,921,0,-0.031607492768011294,0.9317357017606729,-3.4318667500555154e-05,0.4766558089033659,5.243486806647812,4.934727255007177,5.243486806647812,0.996742671009772,8,0.5773747110808741,False,False,0.0,0.5341321491196636,0.0,1.7187155819680042,2.252847731087668,5e-05
f21c_hold1_atr0p8_tp1p2_cd0,density_repair(빈도 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),1,0.8,1.2,0,False,752,92,8.173913043478262,752,0,0.02113227309482411,1.0747284585677892,2.8101426987798018e-05,0.5,2.4223577223370985,1.7873908617757728,2.4223577223370985,0.9587765957446809,14,0.18648672707297687,False,False,0.0,0.4626357707161054,0.0,0.8975304409022667,1.3601662116183721,5e-05
f21c_hold2_atr0p6_tp1p2_cd0_early,density_repair(빈도 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.6,1.2,0,True,2205,427,5.163934426229508,2205,0,-0.0017450205904598753,0.9984767481813522,-7.913925580316895e-07,0.4399092970521542,5.200977400806495,3.5849208567143354,5.200977400806495,0.9968253968253968,12,0.0005617761757442727,False,False,0.0,0.5007616259093239,0.0,1.9983186292923438,2.499080255201668,5e-05
