ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count
frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1__stage_open,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1,frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1__stage_open,frontier20C_rule_atlas_repair_or_closeout_decision_v1,stage_open(단계 개방),not_applicable_stage_open(단계 개방에는 해당 없음),"planning_only_no_trading_kpi(계획 전용, 거래 KPI 없음)",stage_open(단계 개방),opened_frontier21_f20_seed_lifecycle_dd_containment_no_authority,stage_opened_after_grok_adjusted_review_with_entry_lock_and_lifecycle_dd_contract,stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1_report.md,grok=accepted_with_adjustments(조정 수용);profiles=5;feature_hash=fa06973c24462298ea38d84528b07ca0adf357e506f3bfeea02eb0d5691ab8e2,"fixed_f20_entry_no_model_training_no_wfo_no_mt5_no_authority(고정 F20 진입, 모델 학습/WFO/MT5/권위 없음)","grok_stage_open_review_completed_runtime_probe_requires_handoff_candidate(그록 단계 개방 검토 완료, 런타임 탐침은 인계 후보 필요)",next=frontier21B_f20_seed_lifecycle_proxy_scout_v1;entry_lock=f20_seed;lifecycle_grid_cap=5;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can a runtime-representable lifecycle stack contain DD on the fixed F20 seed?(런타임 표현 가능한 생명주기 묶음이 고정 F20 씨앗 손실폭을 억제할 수 있는가?),,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_open(단계 개방),,,,,,,,,,,,,,,
frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_a_lifecycle_proxy,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21B_f20_seed_lifecycle_proxy_scout_v1,frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_a_lifecycle_proxy,frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"lifecycle_proxy_not_runtime(생명주기 프록시, 런타임 아님)",trade_shape_proxy(거래 형태 프록시),lifecycle_proxy_no_forward_clue_repair_or_closeout_required,"negative_pressure_needs_repair_or_closeout(부정 압력, 수리 또는 마감 필요)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21B_f20_seed_lifecycle_proxy_scout_v1_report.md,best=f21b_hold10_atr1p5_tp3p0_cd6;oos_pf=1.25047;oos_density=2.27174;oos_dd=3.19186,"proxy_only_no_wfo_no_mt5_no_authority(프록시 전용, WFO/MT5/권위 없음)",out_of_scope_by_claim_no_handoff_candidate_yet(인계 후보 전이라 주장 범위 밖),scout=0;seed=0;handoff=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_b_missing_required,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21B_f20_seed_lifecycle_proxy_scout_v1,frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_b_missing_required,frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),trade_shape_proxy(거래 형태 프록시),lifecycle_proxy_no_forward_clue_repair_or_closeout_required,"negative_pressure_needs_repair_or_closeout(부정 압력, 수리 또는 마감 필요)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21B_f20_seed_lifecycle_proxy_scout_v1_report.md,"missing_required_no_tier_b_model_input(필수 누락, Tier B 모델 입력 없음)",no_tier_b_claim(티어 B 주장 없음),"not_applicable_proxy_no_mt5(프록시, MT5 없음)",Tier B model input not available in this dataset(Tier B 모델 입력이 이 데이터셋에 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_ab_combined_out_of_scope,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21B_f20_seed_lifecycle_proxy_scout_v1,frontier21B_f20_seed_lifecycle_proxy_scout_v1__tier_ab_combined_out_of_scope,frontier21A_stage_open_f20_seed_lifecycle_dd_containment_onnx_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),out_of_scope_by_claim(주장 범위 밖),trade_shape_proxy(거래 형태 프록시),lifecycle_proxy_no_forward_clue_repair_or_closeout_required,"negative_pressure_needs_repair_or_closeout(부정 압력, 수리 또는 마감 필요)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21B_f20_seed_lifecycle_proxy_scout_v1_report.md,"out_of_scope_by_claim_no_combined_source(주장 범위 밖, 합산 원천 없음)",no_synthetic_combined_claim(합성 합산 주장 없음),"not_applicable_proxy_no_mt5(프록시, MT5 없음)",Combined record blocked by missing Tier B source(Tier B 원천 누락으로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21C_lifecycle_density_repair_scout_v1__tier_a_density_repair,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21C_lifecycle_density_repair_scout_v1,frontier21C_lifecycle_density_repair_scout_v1__tier_a_density_repair,frontier21B_f20_seed_lifecycle_proxy_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"density_repair_proxy_not_runtime(빈도 수리 프록시, 런타임 아님)",trade_shape_proxy(거래 형태 프록시),density_repair_scout_clue_low_dd_low_pf_no_authority,"scout_clue_low_dd_pf_shortfall(낮은 손실폭 탐색 단서, 수익 팩터 부족)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21C_lifecycle_density_repair_scout_v1_report.md,best=f21c_hold2_atr0p8_tp1p6_cd0;oos_pf=1.079;oos_density=6.36957;oos_dd=3.23393,"capped_repair_no_wfo_no_mt5_no_authority(상한 수리, WFO/MT5/권위 없음)",out_of_scope_by_claim_no_handoff_candidate(인계 후보 없어 주장 범위 밖),scout=3;seed=0;handoff=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21C_lifecycle_density_repair_scout_v1__tier_b_missing_required,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21C_lifecycle_density_repair_scout_v1,frontier21C_lifecycle_density_repair_scout_v1__tier_b_missing_required,frontier21B_f20_seed_lifecycle_proxy_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),trade_shape_proxy(거래 형태 프록시),density_repair_scout_clue_low_dd_low_pf_no_authority,"scout_clue_low_dd_pf_shortfall(낮은 손실폭 탐색 단서, 수익 팩터 부족)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21C_lifecycle_density_repair_scout_v1_report.md,"missing_required_no_tier_b_model_input(필수 누락, Tier B 모델 입력 없음)",no_tier_b_claim(티어 B 주장 없음),out_of_scope_by_claim_no_handoff_candidate(인계 후보 없어 주장 범위 밖),Tier B source absent(Tier B 원천 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21C_lifecycle_density_repair_scout_v1__tier_ab_combined_out_of_scope,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21C_lifecycle_density_repair_scout_v1,frontier21C_lifecycle_density_repair_scout_v1__tier_ab_combined_out_of_scope,frontier21B_f20_seed_lifecycle_proxy_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),out_of_scope_by_claim(주장 범위 밖),trade_shape_proxy(거래 형태 프록시),density_repair_scout_clue_low_dd_low_pf_no_authority,"scout_clue_low_dd_pf_shortfall(낮은 손실폭 탐색 단서, 수익 팩터 부족)",stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21C_lifecycle_density_repair_scout_v1_report.md,"out_of_scope_by_claim_no_combined_source(주장 범위 밖, 합산 원천 없음)",no_synthetic_combined_claim(합성 합산 주장 없음),out_of_scope_by_claim_no_handoff_candidate(인계 후보 없어 주장 범위 밖),Combined source absent(합산 원천 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,experiment_execution(실험 실행),,,,,,,,,,,,,,,
frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_a_stage_closeout,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21D_lifecycle_repair_or_closeout_decision_v1,frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_a_stage_closeout,frontier21C_lifecycle_density_repair_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"stage_closeout_preserved_clue_negative_memory_not_runtime(단계 마감 보존 단서+부정 기억, 런타임 아님)",stage_closeout(단계 마감),closed_preserved_clue_negative_memory_lifecycle_low_dd_density_no_pf_edge_no_handoff,preserved_clue_negative_memory(보존 단서+부정 기억),stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21D_lifecycle_repair_or_closeout_decision_v1_report.md,f21c_scout=3;seed=0;handoff=0;oos_pf=1.079;oos_density=6.369565;oos_dd=3.233934,no_wfo_no_mt5_no_onnx_no_authority(WFO/MT5/ONNX/권위 없음),runtime_probe_ineligible_no_handoff_candidate_after_capped_repair(상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격),f21_low_dd_lifecycle_shapes_preserved_as_risk_containment_reference_only(전선21 낮은 손실폭 생명주기 모양은 위험 억제 참고 단서 전용);lifecycle_dd_density_repair_alone_does_not_create_pf_edge_or_handoff(생명주기 손실폭/빈도 수리 단독은 수익 팩터 우위나 인계를 만들지 못함);onnx_branch_unattempted_no_seed_or_handoff_candidate(씨앗 또는 인계 후보가 없어 ONNX 분기 미개시),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_closeout(단계 마감),,,,,,,,,,,,,,,
frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_b_missing_required,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21D_lifecycle_repair_or_closeout_decision_v1,frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_b_missing_required,frontier21C_lifecycle_density_repair_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),stage_closeout(단계 마감),closed_preserved_clue_negative_memory_lifecycle_low_dd_density_no_pf_edge_no_handoff,preserved_clue_negative_memory(보존 단서+부정 기억),stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21D_lifecycle_repair_or_closeout_decision_v1_report.md,"missing_required_no_tier_b_model_input(필수 누락, Tier B 모델 입력 없음)",no_tier_b_claim(티어 B 주장 없음),runtime_probe_ineligible_no_handoff_candidate_after_capped_repair(상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격),Tier B paired materialization not available(티어 B 짝 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_closeout(단계 마감),,,,,,,,,,,,,,,
frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_ab_combined_out_of_scope,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,frontier21D_lifecycle_repair_or_closeout_decision_v1,frontier21D_lifecycle_repair_or_closeout_decision_v1__tier_ab_combined_out_of_scope,frontier21C_lifecycle_density_repair_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),out_of_scope_by_claim(주장 범위 밖),stage_closeout(단계 마감),closed_preserved_clue_negative_memory_lifecycle_low_dd_density_no_pf_edge_no_handoff,preserved_clue_negative_memory(보존 단서+부정 기억),stages/stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout/03_reviews/frontier21D_lifecycle_repair_or_closeout_decision_v1_report.md,"out_of_scope_by_claim_no_combined_source(주장 범위 밖, 합산 원천 없음)",no_synthetic_combined_claim(합성 합산 주장 없음),runtime_probe_ineligible_no_handoff_candidate_after_capped_repair(상한 수리 뒤 인계 후보가 없어 런타임 탐침 부적격),Combined record blocked by missing Tier B source(Tier B 원천 누락으로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_closeout(단계 마감),,,,,,,,,,,,,,,
