profile_id,profile_role,split,granularity,period,tier_scope,record_view,max_hold_bars,atr_stop_multiplier,atr_take_profit_multiplier,cooldown_bars,early_adverse_exit_enabled,trade_count,days_in_scope,trades_per_day,long_trade_count,short_trade_count,net_profit,profit_factor,expectancy,win_rate,max_drawdown_percent,max_monthly_drawdown_percent,dd_risk_percent,underwater_ratio,max_loss_streak,equity_trend_r2,sparse_flag,pf999_sparse_flag,density_axis_distance,pf_axis_distance,dd_axis_distance,smoothness_axis_distance,aspiration_distance_score,proxy_cost_log_return,source_candidate_id,source_rule_definition,source_lane,source_shock_feature,source_context_feature
f22b_0379__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,1797,340,5.285294117647059,1797,0,0.0990509112216443,1.099271661688652,5.512015093024168e-05,0.4813578185865331,7.774340465011409,2.7650616872926026,7.774340465011409,0.9159710628825821,15,0.46511284521543433,False,False,0.0,0.450364169155674,0.0,0.7528861979502165,1.2032503671058905,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,665,123,5.40650406504065,665,0,-0.024488431260390103,0.9485943454574025,-3.682470866224076e-05,0.4631578947368421,4.49436760844939,4.49436760844939,4.49436760844939,0.98796992481203,10,0.24676487698880212,False,False,0.0,0.5257028272712987,0.0,1.8835422715204526,2.409245098791751,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,536,81,6.617283950617284,536,0,0.03584513966309872,1.1430402084984717,6.687526056548268e-05,0.5130597014925373,1.5670179047190036,1.5670179047190036,1.5670179047190036,0.9235074626865671,9,0.8889811337273749,False,False,0.0,0.4284798957507642,0.0,0.5555368480316365,0.9840167437824007,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,1391,339,4.103244837758112,1391,0,0.025430760272591252,1.0263515918789958,1.828235821178379e-05,0.4378145219266715,6.760326612573698,3.5506177812056228,6.760326612573698,0.9561466570812365,11,0.215722745096951,False,False,0.17935103244837763,0.4868242040605021,0.0,0.8831907603929284,1.549365996901808,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,515,123,4.186991869918699,515,0,-0.037206295121433836,0.9104581624639297,-7.22452332455026e-05,0.429126213592233,4.227093833733231,3.654976712599123,4.227093833733231,0.9980582524271845,8,0.6544102012014508,False,False,0.16260162601626024,0.5447709187680352,0.0,1.6846416230515802,2.3920141678358755,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold4_atr0p8_tp1p6_cd1,compact_containment(압축 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),4,0.8,1.6,1,False,398,81,4.91358024691358,398,0,0.024340012218107714,1.099227168444415,6.115580959323546e-05,0.4547738693467337,2.5738835500582646,2.1891703221427306,2.5738835500582646,0.8869346733668342,9,0.7776231920686741,False,False,0.01728395061728403,0.4503864157777925,0.0,0.589190166584172,1.0568605329792486,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,1116,339,3.2920353982300883,1116,0,0.18038372722954468,1.1985311525915014,0.00016163416418417983,0.4596774193548387,6.11064893896156,3.0403328115761075,6.11064893896156,0.8781362007168458,11,0.708394961895183,False,False,0.34159292035398237,0.4007344237042493,0.0,0.6263835574697483,1.36871090152798,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,412,123,3.3495934959349594,412,0,-0.006161356786314848,0.9840646039354749,-1.4954749481346718e-05,0.4077669902912621,5.5065824517210205,4.263291510646816,5.5065824517210205,0.9830097087378641,9,3.5743287858951605e-06,False,False,0.3300813008130081,0.5079676980322625,0.0,1.9823527604840852,2.8204017593293558,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold6_atr1p0_tp2p0_cd2,balanced_containment(균형 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),6,1.0,2.0,2,False,331,81,4.08641975308642,331,0,-0.023297660062897487,0.9138759737954891,-7.038567994833078e-05,0.4199395770392749,4.443835475552116,3.062683168285152,4.443835475552116,0.9818731117824774,10,0.443359801601678,False,False,0.18271604938271596,0.5430620131022554,0.0,1.7923309895813597,2.518109052066331,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,956,338,2.828402366863905,956,0,0.15050505634057265,1.1663286182389216,0.00015743206730185424,0.4476987447698745,7.777230689837378,2.7718764935979023,7.777230689837378,0.8891213389121339,12,0.6827739763276801,False,False,0.43431952662721895,0.4168356908805392,0.0,0.6428563131630042,1.4940115306707624,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,342,122,2.80327868852459,342,0,0.030880435842481128,1.0896993723563264,9.029367205403838e-05,0.4473684210526316,3.7657283396550167,3.7657283396550167,3.7657283396550167,0.935672514619883,11,0.6967372284090136,False,False,0.439344262295082,0.4551503138218368,0.0,0.6575208787948912,1.55201545491181,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0379__hold8_atr1p2_tp2p4_cd3,wide_containment(넓은 위험 억제),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),8,1.2,2.4,3,False,267,81,3.2962962962962963,267,0,0.016263918293799577,1.0722395224765722,6.09135516621707e-05,0.4344569288389513,2.8533277305167304,2.004244182774406,2.8533277305167304,0.9400749063670412,10,0.37886604734165485,False,False,0.34074074074074073,0.4638802387617139,0.0,0.8025439865614238,1.6071649660638783,5e-05,f22b_0379,close_prev_close_ratio >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,close_prev_close_ratio,ema20_ema50_diff
f22b_0321__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),train,aggregate,train,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,1797,340,5.285294117647059,1797,0,0.0990509112216443,1.099271661688652,5.512015093024168e-05,0.4813578185865331,7.774340465011409,2.7650616872926026,7.774340465011409,0.9159710628825821,15,0.46511284521543433,False,False,0.0,0.450364169155674,0.0,0.7528861979502165,1.2032503671058905,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0321__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),validation,aggregate,validation,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,665,123,5.40650406504065,665,0,-0.024488431260390103,0.9485943454574025,-3.682470866224076e-05,0.4631578947368421,4.49436760844939,4.49436760844939,4.49436760844939,0.98796992481203,10,0.24676487698880212,False,False,0.0,0.5257028272712987,0.0,1.8835422715204526,2.409245098791751,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
f22b_0321__hold2_atr0p8_tp1p6_cd0,fast_low_dd_repair(빠른 낮은 손실폭 수리),oos,aggregate,oos,Tier A(티어 A),Tier A separate(티어 A 분리),2,0.8,1.6,0,False,535,81,6.604938271604938,535,0,0.03661099052329838,1.1465441985404987,6.84317579874736e-05,0.514018691588785,1.5670179047190036,1.5670179047190036,1.5670179047190036,0.9233644859813084,9,0.8925470455161578,False,False,0.0,0.42672790072975064,0.0,0.5538678482093178,0.9805957489390684,5e-05,f22b_0321,log_return_1 >= q70 & ema20_ema50_diff >= q70 [shock_continuation],shock_continuation,log_return_1,ema20_ema50_diff
