candidate_id,shape_id,label_variant,model_id,feature_set_id,target_signal_trades_day,score_threshold,selected_signal_rows,lifecycle_rows,status,claim_boundary,train_signal_net_profit,train_signal_gross_profit,train_signal_gross_loss,train_signal_profit_factor,train_signal_max_drawdown_amount,train_signal_max_drawdown_percent,train_signal_trade_count,train_signal_trades_day,train_signal_win_rate,train_signal_average_win,train_signal_average_loss,train_signal_payoff_ratio,train_signal_expectancy,train_signal_recovery_factor,train_signal_smoothness_r2,train_signal_max_consecutive_loss,train_signal_long_trade_count,train_signal_short_trade_count,train_lifecycle_net_profit,train_lifecycle_gross_profit,train_lifecycle_gross_loss,train_lifecycle_profit_factor,train_lifecycle_max_drawdown_amount,train_lifecycle_max_drawdown_percent,train_lifecycle_trade_count,train_lifecycle_trades_day,train_lifecycle_win_rate,train_lifecycle_average_win,train_lifecycle_average_loss,train_lifecycle_payoff_ratio,train_lifecycle_expectancy,train_lifecycle_recovery_factor,train_lifecycle_smoothness_r2,train_lifecycle_max_consecutive_loss,train_lifecycle_long_trade_count,train_lifecycle_short_trade_count,validation_signal_net_profit,validation_signal_gross_profit,validation_signal_gross_loss,validation_signal_profit_factor,validation_signal_max_drawdown_amount,validation_signal_max_drawdown_percent,validation_signal_trade_count,validation_signal_trades_day,validation_signal_win_rate,validation_signal_average_win,validation_signal_average_loss,validation_signal_payoff_ratio,validation_signal_expectancy,validation_signal_recovery_factor,validation_signal_smoothness_r2,validation_signal_max_consecutive_loss,validation_signal_long_trade_count,validation_signal_short_trade_count,validation_lifecycle_net_profit,validation_lifecycle_gross_profit,validation_lifecycle_gross_loss,validation_lifecycle_profit_factor,validation_lifecycle_max_drawdown_amount,validation_lifecycle_max_drawdown_percent,validation_lifecycle_trade_count,validation_lifecycle_trades_day,validation_lifecycle_win_rate,validation_lifecycle_average_win,validation_lifecycle_average_loss,validation_lifecycle_payoff_ratio,validation_lifecycle_expectancy,validation_lifecycle_recovery_factor,validation_lifecycle_smoothness_r2,validation_lifecycle_max_consecutive_loss,validation_lifecycle_long_trade_count,validation_lifecycle_short_trade_count,oos_signal_net_profit,oos_signal_gross_profit,oos_signal_gross_loss,oos_signal_profit_factor,oos_signal_max_drawdown_amount,oos_signal_max_drawdown_percent,oos_signal_trade_count,oos_signal_trades_day,oos_signal_win_rate,oos_signal_average_win,oos_signal_average_loss,oos_signal_payoff_ratio,oos_signal_expectancy,oos_signal_recovery_factor,oos_signal_smoothness_r2,oos_signal_max_consecutive_loss,oos_signal_long_trade_count,oos_signal_short_trade_count,oos_lifecycle_net_profit,oos_lifecycle_gross_profit,oos_lifecycle_gross_loss,oos_lifecycle_profit_factor,oos_lifecycle_max_drawdown_amount,oos_lifecycle_max_drawdown_percent,oos_lifecycle_trade_count,oos_lifecycle_trades_day,oos_lifecycle_win_rate,oos_lifecycle_average_win,oos_lifecycle_average_loss,oos_lifecycle_payoff_ratio,oos_lifecycle_expectancy,oos_lifecycle_recovery_factor,oos_lifecycle_smoothness_r2,oos_lifecycle_max_consecutive_loss,oos_lifecycle_long_trade_count,oos_lifecycle_short_trade_count,validation_lifecycle_pass,oos_lifecycle_pass,runtime_repair_probe_worthy,meaningful_candidate
f72e_0000,short_h6_sl0.9_tp1.2,early_survival_045,extra_trees_3class_bridge_lifecycle_scout,all58,5.0,0.01496665897112509,6699,4008,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,22609.284844856265,60081.82886528016,-37472.54402042389,1.6033560153410824,552.8881125641019,5.5288811256410195,4232,4.961313012895662,0.566398865784499,25.06542714446398,-20.42100491576234,1.2274335787029145,5.342458611733522,40.89305653543951,0.9411671208741028,12,0,4232,10843.742612628934,34639.988009414665,-23796.245396785733,1.4556913257456003,316.4255353927656,3.164255353927656,2566,3.00820633059789,0.5448168355416991,24.77824607254268,-20.373497771220663,1.2161999059162096,4.2259324289278775,34.26949281817302,0.9388871013702904,8,0,2566,-1470.3024320983936,19163.647414321902,-20633.9498464203,0.9287435298116965,2792.6180831337097,27.926180831337096,1360,5.0,0.4360294117647059,32.31643746091383,-26.902151038357626,1.2012584947142855,-1.081104729484113,-0.5264960651004981,0.5353250503659639,16,0,1360,-1125.3865257453922,11236.618663635249,-12362.005189380641,0.9089640791679868,1466.549231166844,14.66549231166844,821,3.0183823529411766,0.43605359317904996,31.38720297104818,-26.69979522544415,1.1755596889798265,-1.370750944878675,-0.7673704379156713,0.6474366656812661,10,0,821,1066.7936995506316,19982.831533813478,-18916.037834262846,1.0563962553309307,1496.061504249572,14.96061504249572,1107,5.676923076923077,0.46883468834688347,38.50256557574851,-32.170132371195315,1.1968420002593203,0.9636799453935244,0.7130680767604791,0.6076307274384247,13,0,1107,-10.694458141322116,10576.564054260254,-10587.258512401579,0.9989898746565226,721.3707239913911,7.21370723991391,621,3.1846153846153844,0.45410628019323673,37.50554629170303,-31.230851069031207,1.2009133599594366,-0.01722134966396476,-0.014825190135453494,0.06531754056102566,9,0,621,False,False,False,False
f72e_0001,short_h6_sl0.9_tp1.2,early_survival_045,extra_trees_3class_bridge_lifecycle_scout,all58,8.0,0.011247145962772986,10569,5647,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,29346.771028671286,91459.95125061038,-62113.18022193908,1.4724725239282739,721.1728277015573,7.211728277015572,6747,7.909730363423212,0.5467615236401363,24.792613513312652,-20.31834485506676,1.2202083235697296,4.349602938887103,40.69311807296191,0.9437733615826895,14,0,6747,12457.771713142416,47215.05957603456,-34757.28786289214,1.3584218585260415,441.77841617581726,4.417784161758172,3625,4.249706916764361,0.528,24.66826519124063,-20.325899335024644,1.2136370836361186,3.436626679487563,28.1991406936108,0.9342026079079329,9,0,3625,-2278.113002128622,29944.658202590937,-32222.771204719556,0.9293011458370486,3689.6876553917155,36.89687655391716,2176,8.0,0.43704044117647056,31.48754805740372,-26.30430302426086,1.1970493203474075,-1.046926931125286,-0.6174270602010529,0.6016637082118635,20,0,2176,-1510.3576791191176,15826.485323638908,-17336.843002758025,0.9128816198613068,1602.7936956214999,16.027936956215,1173,4.3125,0.4339300937766411,31.09329140204108,-26.109703317406666,1.1908711111746713,-1.2876024544920013,-0.9423281881162259,0.7830106623856838,10,0,1173,-738.0820517730647,27607.27469062806,-28345.35674240112,0.9739610949870677,2229.178736438751,22.29178736438751,1646,8.441025641025641,0.4471445929526124,37.50988409052725,-31.148743672968262,1.20421820168238,-0.44840950897513043,-0.3311004360970156,3.273069944060703e-05,23,0,1646,-790.0165537071214,13912.401678848268,-14702.418232555388,0.94626621680794,1270.071040935516,12.700710409355162,849,4.3538461538461535,0.44405182567726736,36.902922225061715,-31.149191170668196,1.1847152634836808,-0.930525976097905,-0.6220254838069582,0.276868751721376,11,0,849,False,False,False,False
f72e_0002,short_h6_sl0.9_tp1.2,early_survival_045,extra_trees_3class_bridge_lifecycle_scout,all58,12.0,0.005768939174149945,16004,7461,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,28666.114395542158,129822.60710067752,-101156.49270513536,1.2833838306266907,1138.1712635803233,11.381712635803233,10298,12.072684642438453,0.5137890852592737,24.536497278525328,-20.207050080929957,1.2142542914604448,2.7836584186776228,25.18611681107439,0.9186411950059163,21,0,10298,11052.253895530715,59643.46457695009,-48591.21068141937,1.2274537666491392,677.0629889488064,6.770629889488064,4817,5.647127784290738,0.5040481627569027,24.564853614888836,-20.34807817479873,1.2072321230470118,2.2944267999856165,16.323819313606567,0.8755724586341718,12,0,4817,-3578.467052841207,44261.19660888671,-47839.663661727915,0.9251987414011859,4390.753593940701,43.907535939407005,3264,12.0,0.43995098039215685,30.822560312595204,-26.170494344490105,1.17775995771683,-1.0963440725616442,-0.8150006545071307,0.7177130631504117,23,0,3264,-1143.4471015548756,21153.272113571154,-22296.71921512603,0.9487168004170243,1406.7273833084164,14.067273833084165,1545,5.680147058823529,0.4453074433656958,30.74603504879528,-26.017175280193737,1.181759154007834,-0.7400952113623791,-0.8128420013163147,0.5923435283237525,11,0,1545,-2088.7431027698285,39945.04612594606,-42033.78922871589,0.9503079988481533,3445.4093154430293,34.454093154430296,2442,12.523076923076923,0.4402129402129402,37.15818244274052,-30.748931403596117,1.2084381715585353,-0.8553411559254007,-0.6062394657748369,0.44235575942814126,22,0,2442,-1983.1236814975696,17539.911953125007,-19523.035634622578,0.8984213460133906,2252.7806779003104,22.527806779003104,1099,5.635897435897436,0.4313011828935396,37.00403365638187,-31.236857015396126,1.1846273022328462,-1.8044801469495628,-0.8803003776408128,0.7071042456883658,11,0,1099,False,False,False,False
f72e_0003,short_h6_sl0.9_tp1.2,early_survival_045,extra_trees_3class_bridge_lifecycle_scout,all58,16.0,-0.019451276714533283,21850,9807,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,22396.26728481291,171693.81743659973,-149297.55015178683,1.1500109496910245,2457.1598803710076,24.571598803710078,14231,16.683470105509965,0.49040826364977863,24.601492683278366,-20.589925548446672,1.1948315512551395,1.573766234615481,9.114696794345873,0.8433901526392361,24,0,14231,7346.256469535806,75549.14294921872,-68202.88647968291,1.107711811753366,1168.7768943214433,11.687768943214433,6346,7.439624853458382,0.48046013236684526,24.77833484723474,-20.692623325146517,1.1974477309081974,1.1576199920478736,6.285422397745826,0.7298977325309551,14,0,6346,-4958.09652616502,61281.320834732054,-66239.41736089709,0.9251488505831584,5827.647120990701,58.27647120990701,4352,16.0,0.4391084558823529,32.0676718130466,-27.13618081151048,1.1817312110274674,-1.13926850325483,-0.850788735698558,0.7682170653447852,25,0,4352,-1904.9992955970733,28596.07610565185,-30501.07540124892,0.9375432088693153,2209.485646038047,22.09485646038047,2019,7.422794117647059,0.43784051510648836,32.34850238195911,-26.873194186122397,1.2037460883107158,-0.943536055273439,-0.8621912973334019,0.8420606082221384,12,0,2019,-1178.9051195621266,55590.641990432756,-56769.54710999488,0.9792334943719401,3528.013796520232,35.28013796520232,3267,16.753846153846155,0.4465870829507193,38.10187936287372,-31.39908579092637,1.2134709786322602,-0.36085250063119884,-0.3341554731800964,0.00010212937685557077,26,0,3267,-550.9513039684201,24842.470561752325,-25393.421865720746,0.9783033847552399,1017.7767348861635,10.177767348861634,1442,7.394871794871795,0.4500693481276006,38.278074825504355,-32.02196956585214,1.1953691588765876,-0.38207441329294045,-0.5413282550912731,0.01160601962039431,11,0,1442,False,False,False,False
f72e_0004,short_h6_sl0.9_tp1.2,early_survival_045,extra_trees_3class_bridge_lifecycle_scout,all58,20.0,-0.12407378322741325,25224,12297,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,19885.002371330247,194573.10200103757,-174688.09962970734,1.113831465414537,2358.414360065395,23.584143600653952,16374,19.195779601406798,0.4823500671796751,24.635743479493236,-20.612165148048064,1.1952040604441887,1.2144254532386862,8.431513438876308,0.8079314232522365,25,0,16374,5212.652455482468,91008.25043106076,-85795.59797557828,1.060756642280951,1714.2285085868698,17.142285085868696,7879,9.23681125439625,0.4689681431653763,24.630108371058395,-20.51054218875885,1.2008511595835503,0.6615880765937896,3.0408154043474265,0.47262587987777677,16,0,7879,-7160.416475791938,71369.02229904175,-78529.43877483369,0.9088186979621375,7850.960300846011,78.5096030084601,5096,18.735294117647058,0.43328100470957615,32.322926765870356,-27.19163392480391,1.1887085143635203,-1.405105273899517,-0.9120433935986582,0.8489181033152748,18,0,5096,-2634.5711856841976,36565.39598258972,-39199.96716827391,0.9327914950955251,2946.291274585703,29.46291274585703,2591,9.525735294117647,0.43419529139328444,32.50257420674642,-26.73940461683077,1.2155309616089243,-1.0168163588128898,-0.8941991609620001,0.825225803668232,11,0,2591,-3020.5879394054173,63171.410471878065,-66191.99841128348,0.95436626764708,4181.603894329066,41.816038943290664,3754,19.25128205128205,0.44033031433137987,38.21621928123295,-31.50499686400927,1.2130208882798035,-0.8046318432086886,-0.7223515224629059,0.20272137686152233,21,0,3754,-2234.552740964881,30423.367613677983,-32657.920354642865,0.9315770043928348,2367.692084054943,23.67692084054943,1827,9.36923076923077,0.43568691844553914,38.22031107245978,-31.67596542642373,1.2066028788052923,-1.2230721078078168,-0.9437683033251328,0.6647249957128618,11,0,1827,False,False,False,False
f72e_0005,short_h6_sl0.9_tp1.2,mfe_mae_gap_040,extra_trees_3class_bridge_lifecycle_scout,all58,5.0,0.029912932269762216,6480,4786,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,14516.827547550205,57269.95491874695,-42753.127371196744,1.3395500736474861,580.4455670166062,5.804455670166062,4210,4.9355216881594375,0.5163895486935867,26.343125537602095,-20.99858908212021,1.2545188362218407,3.4481775647387662,25.009800009610352,0.9704057874695001,12,0,4210,7666.361708679202,39749.52439125061,-32083.16268257141,1.2389528047633476,470.8696953773542,4.708696953773543,3074,3.6037514654161784,0.4983734547820429,25.946164746247135,-20.8062014802668,1.2470399640633694,2.493936795276253,16.281280753341733,0.973357545396142,9,0,3074,-3127.884398441315,19575.58302734375,-22703.467425785067,0.8622287803100562,3401.4085668563803,34.0140856685638,1360,5.0,0.40955882352941175,35.14467329864228,-28.27330937208601,1.243033591721679,-2.2999149988539083,-0.9195850298372538,0.9551180536729599,23,0,1360,-2064.9823919296314,14325.20754043579,-16390.18993236542,0.8740110761101098,2274.0380145263707,22.740380145263707,1015,3.7316176470588234,0.41379310344827586,34.107637001037595,-27.54653770145449,1.2381823578226556,-2.0344654107681097,-0.9080685453535478,0.9248111046478137,16,0,1015,-396.176638469688,16871.70722557068,-17267.88386404037,0.977057024381852,1690.8449687957764,16.908449687957763,910,4.666666666666667,0.44505494505494503,41.65853635943378,-34.19382943374331,1.2183056723773709,-0.4353589433732835,-0.23430689730936474,0.10827146107141676,12,0,910,-1420.8694852066044,12079.6883303833,-13500.557815589906,0.8947547572022659,1709.8900699615479,17.09890069961548,697,3.5743589743589745,0.41893830703012913,41.3687956519976,-33.33471065577754,1.2410125913250607,-2.0385501939836503,-0.8309712478993209,0.0896786928497766,16,0,697,False,False,False,False
f72e_0006,short_h6_sl0.9_tp1.2,mfe_mae_gap_040,extra_trees_3class_bridge_lifecycle_scout,all58,8.0,0.010856563982115153,10424,7070,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,23655.3396524811,92783.8310977173,-69128.4914452362,1.3421937779623172,696.654400711046,6.9665440071104605,6721,7.879249706916764,0.5192679660764767,26.585624956365987,-21.395385776922378,1.2425868471622483,3.519616076845871,33.955630838385694,0.9752522500354133,16,0,6721,8965.624025726327,57492.69131622315,-48527.06729049682,1.184755117634774,571.0176278686558,5.710176278686559,4536,5.317702227432591,0.49029982363315694,25.85103026808595,-20.98921595609724,1.231633917253416,1.9765485065534232,15.701133534512492,0.9688315412625087,12,0,4536,-972.2347889709414,34297.20488288879,-35269.43967185973,0.9724340732935814,3107.182258396142,31.071822583961424,2176,8.0,0.43612132352941174,36.14036341716417,-28.744449610317627,1.257298849242597,-0.44679907581385175,-0.312899182641699,0.10990532288096962,18,0,2176,-1270.0988496398918,22156.788299102784,-23426.887148742673,0.9457845661877423,2055.016924533842,20.55016924533842,1503,5.525735294117647,0.4311377245508982,34.19257453565245,-27.399868010225347,1.2479101914977158,-0.8450424814636672,-0.6180478780864541,0.4984831140161381,15,0,1503,1647.4974021530272,29898.16378585816,-28250.666383705135,1.0583171164805973,2028.589182853697,20.28589182853697,1527,7.8307692307692305,0.45514079895219384,43.01894069907649,-33.95512786503021,1.2669350228947582,1.0789111998382628,0.812139498760132,0.6386743267931108,12,0,1527,-227.13194082259474,18626.32940567017,-18853.461346492764,0.9879527723504816,1256.8918245315563,12.568918245315563,1031,5.287179487179487,0.44034917555771097,41.02715728121183,-32.67497633707585,1.2556139860049071,-0.2203025614186176,-0.1807092196715074,0.24856721783242788,17,0,1031,False,False,False,False
f72e_0007,short_h6_sl0.9_tp1.2,mfe_mae_gap_040,extra_trees_3class_bridge_lifecycle_scout,all58,12.0,-0.0028498297334575984,15567,9634,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,31890.543561019927,134270.51485282902,-102379.97129180908,1.3114920150751335,757.0703730964633,7.570703730964633,10016,11.74208675263775,0.5160742811501597,25.976110437769204,-21.122337794885308,1.2297933443739935,3.1839600200698808,42.12361848289702,0.9584779387236647,20,0,10016,9259.320644817362,75737.33027191162,-66478.00962709426,1.1392839631745466,597.1009538078251,5.971009538078252,6147,7.206330597889801,0.48283715633642427,25.517968420455396,-20.91161045205859,1.220277533332845,1.5063153806437877,15.507127539771847,0.9240054229855699,14,0,6147,-3857.9214473915126,49380.71063110352,-53238.63207849502,0.9275353010253271,5179.880668849931,51.79880668849931,3264,12.0,0.42922794117647056,35.2467599079968,-28.576828812933453,1.2334034730979189,-1.1819612277547527,-0.7447896378369798,0.8101216499357907,17,0,3264,-3162.761441688538,29541.155053024297,-32703.916494712834,0.9032910494925018,3753.3978836631677,37.533978836631675,2064,7.588235294117647,0.42441860465116277,33.72277974089531,-27.528549237973767,1.2250111493117488,-1.5323456597328189,-0.8426395334890018,0.9625518651550206,12,0,2064,-1469.9549768638385,40944.86827072145,-42414.82324758529,0.9653433666743494,3838.5715390777514,38.38571539077751,2287,11.728205128205127,0.4425010931351115,40.459355998736605,-33.2665280373218,1.216218174416794,-0.6427437590134842,-0.38294322820332466,0.19633244025926103,18,0,2287,-1791.1832271385074,24308.71965904237,-26099.902886180877,0.9313720347945477,2649.4973852157527,26.49497385215753,1423,7.297435897435897,0.4342937456078707,39.334497830165645,-32.42223961016258,1.213194964416846,-1.2587373346019026,-0.6760464219113198,0.2262104486529393,15,0,1423,False,False,False,False
f72e_0008,short_h6_sl0.9_tp1.2,mfe_mae_gap_040,extra_trees_3class_bridge_lifecycle_scout,all58,16.0,-0.0138507096175004,20890,11513,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,33008.09362344742,171900.68729637147,-138892.59367292403,1.2376519348553434,1135.7132478523345,11.357132478523345,13450,15.767878077373974,0.5040148698884759,25.357823764031785,-20.823477312282463,1.2177516455945039,2.454133354903154,29.063756794126203,0.9543656789768563,25,0,13450,8766.99381256105,88321.5359286499,-79554.54211608885,1.1102010467204744,690.206712341309,6.90206712341309,7363,8.631887456037514,0.47806600570419666,25.09134543427554,-20.701155898019476,1.2120746086780634,1.1906823051149056,12.701982834710174,0.8793882238038677,15,0,7363,-6262.720793056491,64103.01530708313,-70365.73610013962,0.9109975800701662,7331.664520759537,73.31664520759537,4352,16.0,0.4306066176470588,34.20651830687467,-28.39618083137192,1.2046168641482775,-1.4390442998751127,-0.8542017675963839,0.9161381245921176,20,0,4352,-4065.1076107215767,34622.47743782043,-38687.585048542016,0.8949247515547682,4536.121318931552,45.36121318931553,2460,9.044117647058824,0.424390243902439,33.1632925649621,-27.321740853490123,1.213805984867387,-1.6524827685860068,-0.8961637762543532,0.9678906156625627,13,0,2460,-2936.0013868713168,53437.07257667543,-56373.07396354675,0.9479183734282459,4853.076846694932,48.53076846694932,3088,15.835897435897436,0.4375,39.55371767333489,-32.454274014707394,1.2187521944077448,-0.9507776511888979,-0.6049773122531138,0.2974240621080813,21,0,3088,-776.9067526245033,29306.483149642954,-30083.389902267456,0.9741748933498368,2104.5878196716294,21.045878196716295,1690,8.666666666666666,0.4414201183431953,39.28482995930691,-31.867997777825696,1.2327360580727156,-0.4597081376476351,-0.36914912524093246,0.06463780064165076,13,0,1690,False,False,False,False
f72e_0009,short_h6_sl0.9_tp1.2,mfe_mae_gap_040,extra_trees_3class_bridge_lifecycle_scout,all58,20.0,-0.05551015603036119,25727,12889,evaluated,proxy_runtime_gap_analysis_and_repair_proxy_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve,32672.24371578217,202014.90549613954,-169342.66178035736,1.1929356924728105,1493.8880777740305,14.938880777740305,16388,19.212192262602578,0.4961557237002685,24.84502588809981,-20.516435883251436,1.2109815773792372,1.9936687646925904,21.87061012259063,0.9348647723872385,19,0,16388,8068.340186443338,96184.27010086058,-88115.92991441724,1.0915650574678124,914.8425813674712,9.148425813674713,8187,9.597889800703399,0.4750213753511665,24.732391386181686,-20.515932459701336,1.2055211935778487,0.9855063132335823,8.819375432200692,0.7865783026725355,15,0,8187,-7162.605919742567,79237.03350708008,-86399.63942682266,0.9170991225512111,8432.247338256726,84.32247338256727,5427,19.952205882352942,0.43375714022480194,33.66059197412068,-28.115730369939037,1.197215634494423,-1.31980945637416,-0.8494302446805784,0.8440982565953558,24,0,5427,-3813.238864154796,39308.40257026673,-43121.64143442153,0.9115701829218654,4338.033721160858,43.38033721160858,2769,10.180147058823529,0.4297580353918382,33.032271067451035,-27.3094625930472,1.2095540494400217,-1.3771176829739242,-0.8790247170172696,0.9239816549196234,12,0,2769,-4175.552513217896,65831.2438636017,-70006.79637681959,0.940355040805717,5503.284433956121,55.0328443395612,3912,20.06153846153846,0.4381390593047035,38.407960247142185,-31.850225831128114,1.205892870298113,-1.0673702743399531,-0.7587382704506582,0.5571014897223328,22,0,3912,-2070.7094460868743,32412.747833328252,-34483.45727941513,0.9399506427296955,2692.076811027522,26.920768110275223,1933,9.912820512820513,0.4355923435075013,38.494949920817405,-31.607201905971706,1.2179170442020166,-1.0712413068219733,-0.7691866136971471,0.18678980123069674,11,0,1933,False,False,False,False
