candidate_id,split,period,trade_count,net,pf,dd_pct,calendar_trades_day,positive_period,active_period
f80b_11473,validation,2025-01,48,15.38225500019269,1.5685245901639346,0.9296772341523593,1.6551724137931034,1,1
f80b_11473,validation,2025-02,55,1.9516125144419811,1.0530376084860174,2.292257607871852,2.2,1,1
f80b_11473,validation,2025-03,62,17.79515774532096,1.4982613015399902,1.082257848917834,2.2142857142857144,1,1
f80b_11473,validation,2025-04,352,84.96167662303662,1.4070595235565377,3.3439993338365865,12.137931034482758,1,1
f80b_11473,validation,2025-05,6,2.288709221481957,1.7049180327868854,0.43290313956713367,0.20689655172413793,1,1
f80b_11473,validation,2025-06,7,1.2064513725641326,1.278688524590164,0.6493547093507004,0.25,1,1
f80b_11473,validation,2025-07,8,3.051612295309276,1.7049180327868854,0.8658062791342559,0.26666666666666666,1,1
f80b_11473,validation,2025-08,17,-3.7612895732881775,0.7103825136612021,1.0822578489178227,0.6071428571428571,0,1
f80b_11473,validation,2025-09,10,-2.040322174189341,0.7306791569086653,0.9296772341523593,0.35714285714285715,0,1
f80b_11473,oos,2025-10,69,13.246126393476194,1.3139943223635786,1.1461288039359145,2.3,1,1
f80b_11473,oos,2025-11,157,29.149994192983385,1.3026340025787435,3.3248380473311614,6.826086956521739,1,1
f80b_11473,oos,2025-12,22,-2.0758060380882877,0.8650519031141864,1.029032053069409,0.7333333333333333,0,1
f80b_11473,oos,2026-01,25,0.6209676182315365,1.0377155172413792,0.919032074982681,0.8928571428571429,1,1
f80b_11473,oos,2026-02,111,43.85805577909609,1.747731397459164,1.3625803737194928,4.44,1,1
f80b_11473,oos,2026-03,126,37.204831298043885,1.5239880059970012,1.8522576955249406,4.344827586206897,1,1
f80b_11473,oos,2026-04,36,6.866127664445866,1.3177339901477827,1.029032053069409,3.0,1,1
f80b_15073,validation,2025-01,48,15.38225500019269,1.5685245901639346,0.9296772341523593,1.6551724137931034,1,1
f80b_15073,validation,2025-02,55,1.9516125144419811,1.0530376084860174,2.292257607871852,2.2,1,1
f80b_15073,validation,2025-03,62,17.79515774532096,1.4982613015399902,1.082257848917834,2.2142857142857144,1,1
f80b_15073,validation,2025-04,352,84.96167662303662,1.4070595235565377,3.3439993338365865,12.137931034482758,1,1
f80b_15073,validation,2025-05,6,2.288709221481957,1.7049180327868854,0.43290313956713367,0.20689655172413793,1,1
f80b_15073,validation,2025-06,7,1.2064513725641326,1.278688524590164,0.6493547093507004,0.25,1,1
f80b_15073,validation,2025-07,8,3.051612295309276,1.7049180327868854,0.8658062791342559,0.26666666666666666,1,1
f80b_15073,validation,2025-08,17,-3.7612895732881775,0.7103825136612021,1.0822578489178227,0.6071428571428571,0,1
f80b_15073,validation,2025-09,10,-2.040322174189341,0.7306791569086653,0.9296772341523593,0.35714285714285715,0,1
f80b_15073,oos,2025-10,69,13.246126393476194,1.3139943223635786,1.1461288039359145,2.3,1,1
f80b_15073,oos,2025-11,157,29.149994192983385,1.3026340025787435,3.3248380473311614,6.826086956521739,1,1
f80b_15073,oos,2025-12,22,-2.0758060380882877,0.8650519031141864,1.029032053069409,0.7333333333333333,0,1
f80b_15073,oos,2026-01,25,0.6209676182315365,1.0377155172413792,0.919032074982681,0.8928571428571429,1,1
f80b_15073,oos,2026-02,111,43.85805577909609,1.747731397459164,1.3625803737194928,4.44,1,1
f80b_15073,oos,2026-03,126,37.204831298043885,1.5239880059970012,1.8522576955249406,4.344827586206897,1,1
f80b_15073,oos,2026-04,36,6.866127664445866,1.3177339901477827,1.029032053069409,3.0,1,1
f80b_11410,validation,2025-01,46,17.546770698028343,1.704918032786886,0.7132256643687924,1.5862068965517242,1,1
f80b_11410,validation,2025-02,50,-1.4193545559577996,0.9590163934426229,2.292257607871852,2.0,0,1
f80b_11410,validation,2025-03,62,17.79515774532096,1.4982613015399902,1.082257848917834,2.2142857142857144,1,1
f80b_11410,validation,2025-04,349,85.28103139812713,1.4128712233460032,3.3439993338365865,12.03448275862069,1,1
f80b_11410,validation,2025-05,3,2.6080639965724624,3.4098360655737707,0.21645156978356683,0.10344827586206896,1,1
f80b_11410,validation,2025-06,4,1.5258061476546378,1.7049180327868854,0.43290313956713367,0.14285714285714285,1,1
f80b_11410,validation,2025-07,1,-1.0822578489178245,0.0,0.0,0.03333333333333333,0,1
