axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,best_candidate,best_rank_score,best_val_net_pf_dd_tpd,best_oos_net_pf_dd_tpd
surface_family,intent_cost_asymmetry,960,525,253,58,f81b_03083,2019716.6487817026,254.58519121916365/1.4949135414133787/3.3638702976199966/3.3136531365313653,269.2932528052764/1.6573844687946646/2.5548382007240207/3.902061855670103
surface_family,mt5_native_cost_shape_guard,960,0,0,0,f81b_00818,47978.90189347534,0.4258063667873411/1.2222222222222225/0.25548382007240206/0.02214022140221402,0.19516125144419794/1.3055555555555556/0.0/0.010309278350515464
surface_family,order_intent_exit_efficiency,960,565,307,48,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
surface_family,smooth_density_cost_shape,960,772,453,56,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
surface_family,spread_tail_cost_budget,960,0,0,0,f81b_02810,50252.58937321426,3.051612295309276/1.6231884057971013/0.3264515478702947/0.04797047970479705,4.151612076176573/3.5434782608695654/0.3264515478702947/0.03608247422680412
label_mode,cost_shape_guard,960,0,0,0,f81b_00818,47978.90189347534,0.4258063667873411/1.2222222222222225/0.25548382007240206/0.02214022140221402,0.19516125144419794/1.3055555555555556/0.0/0.010309278350515464
label_mode,exit_efficiency,960,565,307,48,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
label_mode,intent_cost_asymmetry,960,525,253,58,f81b_03083,2019716.6487817026,254.58519121916365/1.4949135414133787/3.3638702976199966/3.3136531365313653,269.2932528052764/1.6573844687946646/2.5548382007240207/3.902061855670103
label_mode,smooth_density_cost_shape,960,772,453,56,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
label_mode,spread_tail_budget,960,0,0,0,f81b_02810,50252.58937321426,3.051612295309276/1.6231884057971013/0.3264515478702947/0.04797047970479705,4.151612076176573/3.5434782608695654/0.3264515478702947/0.03608247422680412
entry_mode,next_bar_open_control,1920,772,453,56,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
entry_mode,same_bar_open,2880,1090,560,106,f81b_01107,2020143.5620178394,131.06586098693595/1.4029339093155304/4.084192734768612/2.6014760147601477,120.89973397988815/1.396125563144892/2.050967333359029/3.4536082474226806
fill_order,close_direction,2880,1862,1013,162,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
fill_order,pessimistic,1920,0,0,0,f81b_02810,50252.58937321426,3.051612295309276/1.6231884057971013/0.3264515478702947/0.04797047970479705,4.151612076176573/3.5434782608695654/0.3264515478702947/0.03608247422680412
side,long,2400,919,603,130,f81b_04147,2020783.1511846848,145.29843879680283/1.3885833720830922/3.331579981471941/2.5387453874538743,128.0461841691357/1.4582506579636618/2.1716124706154005/2.7422680412371134
