axis,value,candidate_rows,scout_clue_count,materialization_candidate_count,meaningful_signal_count,winrate_preserved_count,density_target_5_10_tpd_count,best_candidate,best_rank_score,best_oos_net_pf_dd_tpd
surface_family,drawdown_guard_supply,256,37,1,0,180,3,f84b_00815,1016779.3406175321,21.828785974033522/1.1308534964105295/6.211450375510322/1.4639175257731958
surface_family,fill_path_fast_tp,256,35,5,0,256,27,f84b_00535,1049767.3756535647,19.7645121917124/1.227092039547447/1.8487093091350173/1.2525773195876289
surface_family,reversal_balance,256,243,129,69,256,33,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
surface_family,runtime_winrate_preserve,256,15,3,0,241,23,f84b_00128,1047098.9554554243,17.51572231711675/1.142815811363061/2.8599994302549705/1.5360824742268042
surface_family,stop_touch_asymmetry,256,249,131,58,256,42,f84b_00319,2691792.893105539,298.3607470146947/1.43668114333197/2.175160857005312/9.407216494845361
side,long,640,307,199,125,561,61,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
side,short,640,272,70,2,628,67,f84b_00420,2620578.151365735,95.88360993113189/1.4021348076329234/1.511612602095056/3.2422680412371134
label_mode,dd_guard,256,37,1,0,180,3,f84b_00815,1016779.3406175321,21.828785974033522/1.1308534964105295/6.211450375510322/1.4639175257731958
label_mode,fast_tp,256,35,5,0,256,27,f84b_00535,1049767.3756535647,19.7645121917124/1.227092039547447/1.8487093091350173/1.2525773195876289
label_mode,reversal_balance,256,243,129,69,256,33,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
label_mode,runtime_winrate,256,15,3,0,241,23,f84b_00128,1047098.9554554243,17.51572231711675/1.142815811363061/2.8599994302549705/1.5360824742268042
label_mode,tp_before_sl,256,249,131,58,256,42,f84b_00319,2691792.893105539,298.3607470146947/1.43668114333197/2.175160857005312/9.407216494845361
feature_set,compact_exportable_30,640,283,127,56,593,75,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
feature_set,density_core,640,296,142,71,596,53,f84b_00319,2691792.893105539,298.3607470146947/1.43668114333197/2.175160857005312/9.407216494845361
model,extra_trees_d7_l120,640,284,136,68,558,60,f84b_00287,2691190.7901634052,288.0970393819249/1.4246374556585157/2.930967158052863/9.304123711340207
model,histgbm_density_shallow,640,295,133,59,631,68,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
regime,all,320,143,63,33,305,42,f84b_01075,2681076.17277314,254.4494654397502/1.3299350675493031/2.214193107294136/10.257731958762887
regime,cash_open,320,151,44,16,283,0,f84b_01093,2612556.2303148354,95.27683585845992/1.4728139568668368/1.6925803079796877/2.814432989690722
regime,high_vol,320,142,91,49,301,34,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
regime,trend,320,143,71,29,300,52,f84b_01131,2690916.095555205,247.56559584335486/1.3346431719118168/2.226080201700324/9.855670103092784
risk_filter,intent_release,640,311,140,81,593,81,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
risk_filter,none,640,268,129,46,596,47,f84b_01081,2660209.0210357863,243.21438703274674/1.2939677263710931/3.200644523684741/10.88659793814433
prob_quantile,0.54,640,288,138,57,601,50,f84b_01131,2690916.095555205,247.56559584335486/1.3346431719118168/2.226080201700324/9.855670103092784
prob_quantile,0.66,640,291,131,70,588,78,f84b_01151,2694647.9098338913,291.809538642352/1.4198723594358282/2.448386609027216/9.510309278350515
